id,logical_id,TY,TI,AU,T2,C1,C3,DA,PY,SP,EP,DO,SN,PB,UR,DB,KW,OG,VL,IS,N1,A2,AB,AD,J2,LA,M3,C7,C2,ST,filter_1,filter_1_date,filter_1_observations,oa_status,oa_color,oa_host_type,oa_pdf_url,oa_landing_url,oa_checked_date,pdf_status,pdf_file,pdf_source_host_type,pdf_source_url,pdf_local_source,pdf_status_orientacao,excluded,exclusion_criteria,duplicate_group,duplicate_role
001,001_ACM,CONF,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"Khelifa, Wail; Bouchard, Bruno; Imbeau, Gilles",Proceedings of the 2026 9th International Conference on Software Engineering and Information Management,Japan,Proceedings of the 2026 9th International Conference on Software Engineering and Information Management,2026///,2026,104,113,10.1145/3796315.3796330,9798400721731,Association for Computing Machinery,https://doi.org/10.1145/3796315.3796330,ACM Digital Library,User Stories; Game Design Documents; Large Language Models; Prompt Engineering; Agile Development; Requirements Generation; NLP in Games,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,,https://doi.org/10.1145/3796315.3796330,2026-08-15,OK_PUBLISHER,pdfs/001_ACM.pdf,publisher,,Downloads/3796315.3796330.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",,,,
002,002_ACM,CONF,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Jahan, Munima; Hassan, Mohammad Mahdi; Golpayegani, Reza; Ranjbaran, Golshid; Roy, Chanchal; Roy, Banani; Schneider, Kevin",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"Linz, Austria",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,2024///,2024,138,148,10.1145/3640310.3674081,9798400705045,Association for Computing Machinery,https://doi.org/10.1145/3640310.3674081,ACM Digital Library,Generative Model; Large Language Model; Model Generation; Natural Language Processing; Rule-based approach; Sequence Diagram; User Story,acm/acm_A2.enw,,,,,,,,,,,,,excluido,2026-08-15,"ANALISE DE DUPLICACAO — grupo DUP-A-001, nivel A (DOI identico e titulo normalizado identico). Membros: 002_ACM(ACM Digital Library), 942_SCOPUS(Scopus). Criterio de escolha do primario: melhor status de obtencao do PDF, depois resumo mais completo, depois presenca de DOI, depois menor logical_id. Registro primario: 942_SCOPUS. Conforme o protocolo, a deduplicacao e nao destrutiva: os registros duplicados sao preservados e vinculados, nunca apagados, para sustentar a contagem PRISMA e a rastreabilidade da busca. DECISAO: EXCLUIDO por E3 — duplicata de 942_SCOPUS. A evidencia deste registro nao se perde: ela e extraida do registro primario do mesmo grupo.",CLOSED,closed,,,,2026-08-15,OK_ACERVO_LOCAL,pdfs/002_ACM.pdf,acervo_local (titulo),,3640310.3674081.pdf,"SEM VERSAO ABERTA. Nenhuma copia aberta legal indexada pelo Unpaywall. ACAO: tente pelo acesso institucional CAPES/UPE (proxy ez371 no site da editora). Se nao houver assinatura, as saidas sao pedir o PDF ao autor por e-mail ou usar o COMUT. Atencao: 'fechado' nao significa inexistente - 20 artigos deste grupo ja foram achados no seu acervo local.",true,E3,DUP-A-001,duplicata
003,003_ACM,CONF,Class Model Generation from Requirements using Large Language Models,"Nguyen, Jackson; Koe, Rui En; Wang, Fanyu; Arora, Chetan; Ferrari, Alessio",Proceedings of the 8th Workshop on Modeling and Simulation of Software-Intensive Systems,,Proceedings of the 8th Workshop on Modeling and Simulation of Software-Intensive Systems,2026///,2026,31,38,10.1145/3786146.3788643,9798400723803,Association for Computing Machinery,https://doi.org/10.1145/3786146.3788643,ACM Digital Library,Large Language Models (LLMs); Generative AI; Prompt Engineering; Model Generation; UML Class Diagrams,acm/acm_A2.enw,,,,,,,,,,,,,excluido,2026-08-15,"ANALISE DE DUPLICACAO — grupo DUP-A-002, nivel A (DOI identico e titulo normalizado identico). Membros: 003_ACM(ACM Digital Library), 749_SCOPUS(Scopus). Criterio de escolha do primario: melhor status de obtencao do PDF, depois resumo mais completo, depois presenca de DOI, depois menor logical_id. Registro primario: 749_SCOPUS. Conforme o protocolo, a deduplicacao e nao destrutiva: os registros duplicados sao preservados e vinculados, nunca apagados, para sustentar a contagem PRISMA e a rastreabilidade da busca. DECISAO: EXCLUIDO por E3 — duplicata de 749_SCOPUS. A evidencia deste registro nao se perde: ela e extraida do registro primario do mesmo grupo.",OPEN,gold,,,https://doi.org/10.1145/3786146.3788643,2026-08-15,OK_PUBLISHER,pdfs/003_ACM.pdf,publisher,,Downloads/3786146.3788643.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",true,E3,DUP-A-002,duplicata
004,004_ACM,CONF,Evaluating Large Language Models in Exercises of UML Class Diagram Modeling,"Bari, Daniele De; Garaccione, Giacomo; Coppola, Riccardo; Torchiano, Marco; Ardito, Luca",Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,"Barcelona, Spain",Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,2024///,2024,393,399,10.1145/3674805.3690741,9798400710476,Association for Computing Machinery,https://doi.org/10.1145/3674805.3690741,ACM Digital Library,Artificial Intelligence; Class Diagrams; Large Language Models; Software Modeling,acm/acm_A2.enw,,,,,,,,,,,,,excluido,2026-08-15,"ANALISE DE DUPLICACAO — grupo DUP-A-003, nivel A (DOI identico e titulo normalizado identico). Membros: 004_ACM(ACM Digital Library), 898_SCOPUS(Scopus). Criterio de escolha do primario: melhor status de obtencao do PDF, depois resumo mais completo, depois presenca de DOI, depois menor logical_id. Registro primario: 898_SCOPUS. Conforme o protocolo, a deduplicacao e nao destrutiva: os registros duplicados sao preservados e vinculados, nunca apagados, para sustentar a contagem PRISMA e a rastreabilidade da busca. DECISAO: EXCLUIDO por E3 — duplicata de 898_SCOPUS. A evidencia deste registro nao se perde: ela e extraida do registro primario do mesmo grupo.",OPEN,gold,,,https://doi.org/10.1145/3674805.3690741,2026-08-15,OK_ACERVO_LOCAL,pdfs/004_ACM.pdf,acervo_local (titulo),,esem_2024_part2_pdf/10_1145_3674805_3690741.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",true,E3,DUP-A-003,duplicata
005,005_ACM,CONF,UCGen: Leveraging LLMs for Automated Generation of Use Case Textual Descriptions from Requirements Specification,"Karimi, Mohammed Ammar; Tiwari, Saurabh",Proceedings of the 19th Innovations in Software Engineering Conference,,Proceedings of the 19th Innovations in Software Engineering Conference,2026///,2026,Article 11,,10.1145/3796563.3796606,9798400725036,Association for Computing Machinery,https://doi.org/10.1145/3796563.3796606,ACM Digital Library,Use Case Descriptions; Use Case Modeling; Unified Modeling Language (UML); Natural Language (NL); Large Language Models (LLMs); Requirements; Generation; Verification; Automation; Assessment,acm/acm_A2.enw,,,,,,,,,,,,,excluido,2026-08-15,"ANALISE DE DUPLICACAO — grupo DUP-A-004, nivel A (DOI identico e titulo normalizado identico). Membros: 005_ACM(ACM Digital Library), 871_SCOPUS(Scopus). Criterio de escolha do primario: melhor status de obtencao do PDF, depois resumo mais completo, depois presenca de DOI, depois menor logical_id. Registro primario: 871_SCOPUS. Conforme o protocolo, a deduplicacao e nao destrutiva: os registros duplicados sao preservados e vinculados, nunca apagados, para sustentar a contagem PRISMA e a rastreabilidade da busca. DECISAO: EXCLUIDO por E3 — duplicata de 871_SCOPUS. A evidencia deste registro nao se perde: ela e extraida do registro primario do mesmo grupo.",CLOSED,closed,,,,2026-08-15,FECHADO,,,,,"SEM VERSAO ABERTA. Nenhuma copia aberta legal indexada pelo Unpaywall. ACAO: tente pelo acesso institucional CAPES/UPE (proxy ez371 no site da editora). Se nao houver assinatura, as saidas sao pedir o PDF ao autor por e-mail ou usar o COMUT. Atencao: 'fechado' nao significa inexistente - 20 artigos deste grupo ja foram achados no seu acervo local.",true,E3,DUP-A-004,duplicata
006,006_ACM,CONF,Interleaving Natural Language Prompting with Code Editing for Solving Programming Tasks with Generative AI Models,"Pădurean, Victor-Alexandru; Gotovos, Alkis; Ghosh, Ahana; Denny, Paul; Leinonen, Juho; Luxton-Reilly, Andrew; Prather, James; Singla, Adish",Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 1,Spain,Proceedings of the 31st ACM Conference on Innovation and Technology in Computer Science Education V. 1,2026///,2026,273,279,10.1145/3803400.3809312,9798400726347,Association for Computing Machinery,https://doi.org/10.1145/3803400.3809312,ACM Digital Library,generative ai; natural language prompting; code editing; large language models; llms,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,https://arxiv.org/pdf/2509.14088,https://doi.org/10.1145/3803400.3809312,2026-08-15,OK_REPOSITORY_SUBSTITUIR,pdfs/006_ACM.pdf,repository,https://arxiv.org/pdf/2509.14088,,"PROVISORIO. PDF veio de arXiv ou repositorio institucional, nao da editora. Pode ser preprint (sem revisao final), ter paginacao/secoes diferentes ou faltar conteudo. ACAO: use para triagem, mas substitua pela versao da editora antes da extracao definitiva de dados.",,,,
007,007_ACM,CONF,A Comparative Study of Large Language Models for Goal Model Extraction,"Siddeshwar, Vaishali; Alwidian, Sanaa; Makrehchi, Masoud",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"Linz, Austria",Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,2024///,2024,253,263,10.1145/3652620.3686246,9798400706226,Association for Computing Machinery,https://doi.org/10.1145/3652620.3686246,ACM Digital Library,goal-oriented requirement language (GRL); goal modeling; user story; agile development; requirements engineering; large language models (LLMS); GPT-4; llama; cohere,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,https://dl.acm.org/doi/pdf/10.1145/3652620.3686246?download=true,https://doi.org/10.1145/3652620.3686246,2026-08-15,OK_PUBLISHER,pdfs/007_ACM.pdf,publisher,https://dl.acm.org/doi/pdf/10.1145/3652620.3686246?download=true,,"PRONTO. PDF baixado direto do site da editora = versao final publicada, de fonte confiavel. Nenhuma acao necessaria; pode seguir para a leitura e extracao de dados.",,,,
008,008_ACM,CHAP,An Empirical Evaluation of Generative AI in Security Requirements Engineering and Threat Modeling,"Martins, Francis; Venson, Elaine",Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,,Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering,2026///,2026,294,304,10.1145/3803437.3805203,9798400726361,Association for Computing Machinery,https://doi.org/10.1145/3803437.3805203,ACM Digital Library,,acm/acm_A2.enw,,,,,,,,,,,,,,2026-08-15,"ANALISE DE TIPO DE ITEM (2026-08-15): exportado como CHAP, o que levantou suspeita de capitulo de livro. EVIDENCIA CONTRARIA: o veiculo e Proceedings of the 34th ACM International Conference on the Foundations of Software Engineering. DISCUSSAO: o tipo CHAP e ruido da exportacao da base para anais publicados como volume. DECISAO: MANTIDO.",OPEN,gold,,,https://doi.org/10.1145/3803437.3805203,2026-08-15,OK_PUBLISHER,pdfs/008_ACM.pdf,publisher,,Downloads/3803437.3805203.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",,,,
009,009_ACM,CONF,Test Case Generation for Requirements in Natural Language - An LLM Comparison Study,"Korraprolu, Brahma Reddy; Pinninti, Pavitra; Reddy, Y. Raghu",Proceedings of the 18th Innovations in Software Engineering Conference,,Proceedings of the 18th Innovations in Software Engineering Conference,2025///,2025,Article 9,,10.1145/3717383.3717389,9798400714245,Association for Computing Machinery,https://doi.org/10.1145/3717383.3717389,ACM Digital Library,LLM; Large Language Models; Test Case Generation; Requirements,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,https://dl.acm.org/doi/pdf/10.1145/3717383.3717389,https://doi.org/10.1145/3717383.3717389,2026-08-15,OK_ACERVO_LOCAL,pdfs/009_ACM.pdf,acervo_local (indicado_usuario),https://dl.acm.org/doi/pdf/10.1145/3717383.3717389,3717383.3717389.pdf,"PRONTO COM RESSALVA. PDF encontrado na sua pasta Downloads (coletas manuais anteriores), casado por DOI ou por titulo. ACAO: confira a coluna pdf_local_source e o pdf_source_host_type. Se o casamento foi por 'title' ou se o nome do arquivo sugere preprint/camera-ready, abra e confirme que e o artigo certo e a versao final.",,,,
010,010_ACM,CONF,RESTing-LLAMA: Large Language Model based REST API Fuzzing,"Gadey, Varun; Sendner, Christoph; Zimmermann, Keven; Dmitrienko, Alexandra",Proceedings of the ACM Asia Conference on Computer and Communications Security,"Bangalore, India",Proceedings of the ACM Asia Conference on Computer and Communications Security,2026///,2026,1156,1171,10.1145/3779208.3785383,9798400723568,Association for Computing Machinery,https://doi.org/10.1145/3779208.3785383,ACM Digital Library,REST API Fuzzing; Large Language Models; Web Application Security; Automated Vulnerability Discovery,acm/acm_A2.enw,,,,,,,,,,,,,,,,OPEN,gold,,,https://doi.org/10.1145/3779208.3785383,2026-08-15,OK_PUBLISHER,pdfs/010_ACM.pdf,publisher,,Downloads/3779208.3785383.pdf,"ACESSO ABERTO, FALTA BAIXAR. O Unpaywall confirma que o artigo e aberto, mas so forneceu a pagina do artigo, nao o link direto do PDF (ex.: SciTePress, que exige CAPTCHA). ACAO: abra a URL da coluna oa_landing_url no navegador e baixe manualmente. Este e o grupo com maior ganho rapido: sao legalmente abertos, so exigem um clique.",,,,
