"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Construction of UML Class Diagram from Text in Natural Language","D. Mukherjee","Information Technology, MCKV Institute of Engineering, Howrah, India",2026 Third International Conference on Networking and Communications (ICNWC),"19 May 2026","2026","","","1","6","Unified Modeling Language (UML) is an universally accepted standard for communication within the life cycle phases of software development. Informal requirements expressed in natural languages transform into a formal specification when represented in UML notation, artifacts, and diagrams. UML simplifies by reducing efforts in translating the evolution of textual requirements out of its abstractness and vagueness into concrete code and software during these phases. In this work, automation in a semiformal mapping of natural language texts to the UML artifacts is addressed. An approach has been presented for the construction of one of an important type of structural category UML diagram, named the Class Diagram, from natural language processing of requirements description. The current work is motivated by the wide usage and popularity of natural languages in prompting queries to Large Language Models (LLM) in recent times to generate a code precisely and automatically from a specified set of requirements. It is assumed that the code generated from a class diagram would be a more accurate and precise map of the requirements in natural language, and such an approach could also extend to any other intermediate representations by diagrams from the UML domain. Towards construction of a class diagram, the present work scans the sentential form of the requirements, and applies Parts-of-speech (POS) tagging from the NLP domain to determine the tokens for the words. Subsequently, tokens forming the natural language sentences are parsed by the NLTK parser using phrase structure grammar of the English language. Dependence analysis is performed on the parse trees in iterations to determine the names representing the classes, methods, attributes, and relationships, to finalize a class diagram.","","979-8-3195-4298-4","10.1109/ICNWC68145.2026.11518184","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11518184","Unified Modeling Language (UML);UML Class Diagram;Use Case;Natural Language Processing (NLP);Domain Ontology;Phrase Structure Grammar;Parts-Of-Speech (POS) Tagging;Object-Oriented Programming;Large Language Model (LLM)","Natural languages;Tagging;Trees (botanical);Vegetation;Unified modeling language;Modeling;Ontologies;Natural language processing;Printing;Construction","","","","10","IEEE","19 May 2026","6-8 April 2026","6-8 April 2026","IEEE","IEEE Conferences"
"Semantic Relation Extraction for Use Case Modeling: A PlantUML-based Automation Framework","A. P. Abhiram Krishna; A. K. Jayan; M. G. Thushara","Department of Computer Science and Applications, Amrita School of Computing Amrita Vishwa Vidyapeetham Amritapuri Campus, Kollam, India; Department of Computer Science and Applications, Amrita School of Computing Amrita Vishwa Vidyapeetham Amritapuri Campus, Kollam, India; Department of Computer Science and Applications, Amrita School of Computing Amrita Vishwa Vidyapeetham Amritapuri Campus, Kollam, India",2025 IEEE 6th India Council International Subsections Conference (INDISCON),"2 Dec 2025","2025","","","1","5","Use case diagrams are a foundational component in early-stage software design, providing a visual representation of system functionalities and user interactions. Manually constructing these diagrams from requirement documents can be time-consuming and susceptible to inconsistencies, especially in large or evolving systems. This paper proposes an automated approach that extracts relevant relationships from natural language software specifications and generates corresponding use case diagrams. The method combines dependency parsing, rule-based filtering of subject-verb-object triplets, and a local large language model to produce syntactically valid PlantUML code. The system was evaluated using five publicly available requirement documents. Performance was measured in terms of precision, recall, and F 1 -score, achieving average values of $89.6 \%$, $87.2 \%$, and $88.6 \%$, respectively. A semantic assessment using GEval resulted in an average score of $83.14 \%$, indicating that the generated diagrams maintain consistency with benchmark expectations. The proposed solution demonstrates that structured preprocessing combined with language modeling techniques can significantly reduce manual effort in diagram creation while supporting clarity and correctness in software design artifacts.","","979-8-3315-1504-1","10.1109/INDISCON66021.2025.11253567","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11253567","Use case diagram generation;Software Requirements;Natural Language Processing;Relation Extraction;PlantUML","Software design;Codes;Filtering;Large language models;Unified modeling language;Semantics;Manuals;Syntactics;Software;Natural language processing","","","","16","IEEE","2 Dec 2025","21-23 Aug. 2025","21-23 Aug. 2025","IEEE","IEEE Conferences"
"A new approach for automatic test case generation from use case diagram using LLMs and prompt engineering","L. Naimi; E. M. Bouziane; M. Manaouch; A. Jakimi","GL-ISI Team, Faculty of Sciences and Techniques of Errachidia, UMI, Meknes, Morocco; GL-ISI Team, Faculty of Sciences and Techniques of Errachidia, UMI, Meknes, Morocco; Department of Geography, Faculty of Social Sciences and Humanities of Kenitra, Ibn Tofail University, Morocco; GL-ISI Team, Faculty of Sciences and Techniques of Errachidia, UMI, Meknes, Morocco","2024 International Conference on Circuit, Systems and Communication (ICCSC)","6 Aug 2024","2024","","","1","5","The automation of test case generation from UML diagrams is a growing field that aims to make the software development process smoother. This paper suggests a new framework that uses generative artificial intelligence (AI) to turn use case diagrams into test cases that can be executed. By getting information from the XML representation of use case diagrams, we can create detailed instructions that guide a generative AI model to make test cases for each use case scenario. This method not only makes test case creation easier but also ensures we cover everything well and accurately, which could make software products get to market faster. this approach shows how traditional software engineering methods and new AI techniques can work well together, giving us an idea of what automated software testing might look like in the future.","","979-8-3503-6530-6","10.1109/ICCSC62074.2024.10616548","Ministry of Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10616548","software testing;test cases;LLMs prompt engineering","Software testing;Automation;Unified modeling language;XML;Software;Prompt engineering;Software engineering;Software development management","","14","","22","IEEE","6 Aug 2024","28-29 June 2024","28-29 June 2024","IEEE","IEEE Conferences"
"Using Large Language Models to Extract UML Class Diagrams from Java Programs","H. A. Siala; K. Lano","Informatics Department, King's College London, London, UK; Informatics Department, King's College London, London, UK",2025 8th International Conference on Software and System Engineering (ICoSSE),"28 Jul 2025","2025","","","70","74","Many organizations rely on software systems to perform their core business operations. These systems often require modernization to accommodate new requirements and demands over time. Visual representations and diagrams help maintainers to understand these systems and to assist their maintenance and evolution. Reverse engineering is used to extract different representations of software systems, and the modeldriven engineering (MDE) approach can be used to assist the reverse engineering process, leading to model-driven reverse engineering (MDRE). Large Language Models (LLMs) are an advanced deep learning (DL) technology increasingly being applied in various domains. Despite this, the use of LLMs to extract diagrams from source code has rarely been used. In this paper, we introduce a novel MDRE framework, LLM4Models, that extracts UML class diagrams from Java source code files using LLMs. The paper also introduces a set of rules to extract UML class diagram representations. These rules have been implemented to create training data samples, which are then used to fine-tune the pre-trained LLM. Finally, the proposed framework is explained with an illustrative example and then evaluated.","","979-8-3315-4267-2","10.1109/ICoSSE65712.2025.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11087938","Model-driven Reverse Engineering (MDRE);Unified Modeling Language (UML);Class Diagram;Machine Learning;Large language models (LLMs);Java programs;Legacy systems","Training;Java;Visualization;Source coding;Large language models;Unified modeling language;Reverse engineering;Training data;Software systems;Systems engineering and theory","","3","","21","IEEE","28 Jul 2025","4-6 April 2025","4-6 April 2025","IEEE","IEEE Conferences"
"Comparative Structural and Semantic Evaluation of Fine-Tuned Large Language Models for UML Activity Diagram Generation","R. V. U; V. G; P. V. Nair; P. R. R","Department of Computer Science and Applications, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Applications, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Applications, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Computer Science and Applications, Amrita School of Computing, Amrita Vishwa Vidyapeetham, Amritapuri, India",2026 4th International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),"22 Jun 2026","2026","","","1768","1775","The manual creation of Unified Modeling Language (UML) Activity Diagrams from natural language software requirements is a time-consuming and error-prone process, leading to the need for automated approaches. Recent large language models (LLMs) have the capability to create activity diagrams from natural language descriptions, but they lack the ability to maintain structural and semantic correctness. This work explores the application of open-source LLMs for the automatic generation of executable PlantUML activity diagrams from natural language requirements. Three instruction fine-tuned models, namely Qwen 2.5-Coder-7BInstruct, Llama 3.1-8B-Instruct, and DeepSeek-R1-8B, are tested under baseline conditions and optimized using Supervised FineTuning (SFT) and Direct Preference Optimization (DPO) techniques. A structure-aware semantic evaluation framework is used to compare the generated activity diagrams with ground-truth diagrams based on action coverage, control-flow similarity (CFSim), concurrency coverage, loop coverage, and an aggregate similarity score. The experimental outcome indicates that fine-tuning is an effective method to improve the quality of the diagrams for all models. Among the LLMs tested, DeepSeek-R1-8B performs better in terms of accuracy in representing control-flow, concurrency, and loop constructs. The results clearly show that fine-tuning the models for the specific task leads to a significant improvement in the structural and semantic correctness of the automatically generated UML activity diagrams.","","979-8-3315-7009-5","10.1109/ICSSAS68835.2026.11559382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11559382","UML Activity Diagram;PlantUML;Large Language Models;Natural Language Processing;Supervised FineTuning;Direct Preference Optimization;Automated Software Modeling;Structural and Semantic Evaluation","Modeling;Unified modeling language;Tuning;Large language models;Natural languages;Printing;Fluid flow;Grounding;Codes;Training","","","","23","IEEE","22 Jun 2026","28-30 May 2026","28-30 May 2026","IEEE","IEEE Conferences"
"VeriGen: An LLM-Augmented Framework for End-to-End Automation of Software Development Lifecycle–From Requirements Specifications to Code Generation","M. A. Ahmed; M. W. Anwar; W. H. Butt; F. Azam","Department of Computer and Software Engineering, College of Electrical and Mechanical Engineering, National University of Sciences and Technology (NUST), Islamabad, Pakistan; Department of Computer and Software Engineering, College of Electrical and Mechanical Engineering, National University of Sciences and Technology (NUST), Islamabad, Pakistan; Department of Computer and Software Engineering, College of Electrical and Mechanical Engineering, National University of Sciences and Technology (NUST), Islamabad, Pakistan; Department of Computer and Software Engineering, College of Electrical and Mechanical Engineering, National University of Sciences and Technology (NUST), Islamabad, Pakistan",IEEE Access,"30 Apr 2026","2026","14","","63962","63990","In recent years, Large Language Models (LLMs) and Generative Artificial Intelligence (GenAI) have gained significant momentum in the automation of software development. Although, previous research studies have also explored specific sub tasks like requirements formalization, UML class diagram generation, UML sequence diagram generation, and skeletal code generation, these efforts are still fragmented and do not provide an integrated, end-to-end software solution. Furthermore, unreliable outputs are frequently caused by instability, omissions, and hallucinations in LLM-generated artifacts. We propose VeriGen, a novel end-to-end generative AI framework for automated software development, to overcome these limitations. VeriGen begins with requirements written in plain natural language, which are structured using RUPPs templates into Structured Natural Language (SNL). LLM outputs are systematically processed through a unique Verifier-Optimizer loop at each subsequent stage, such as class diagram generation, sequence diagram generation, and skeletal Java code synthesis. The Verifier-Optimizer loop identifies correct, incorrect, missing, and extra instances while refining outputs for stability and correctness. This ensures the accuracy and completeness of generated artifacts in addition to the automation. By reliably generating verified and optimized outputs throughout the software development pipeline, VeriGen has been validated against four benchmark case studies, proving its superiority over baseline LLM generated outputs. The results confirm VeriGen as a significant and major step toward achieving a reliable, generative, end-to-end software engineering automation.","2169-3536","","10.1109/ACCESS.2026.3686308","Higher Education Commission of Pakistan via the National Research Program for Universities (NRPU) Modelâdriven Framework for Simultaneously Supporting Multiple Representations of Embedded System Designs to Improve Productivity (MRED) Initiative(grant numbers:20-15651); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11488968","Generative artificial intelligence (GenAI);large language models (LLMs);end-to-end software development;structured natural language (SNL);RUPPs templates;UML class diagram generation;sequence diagram generation;code generation;verification and optimization;VeriGen tool","Feeds;Filtering;Filters;Feedback;Circuits;Asynchronous transfer mode;Amplitude shift keying;Electronic mail;Amplitude modulation;Large language models","","","","43","CCBY","21 Apr 2026","2026","","IEEE","IEEE Journals"
"Evaluating Large Language Models in Exercises of UML Use Case Diagrams Modeling","G. Garaccione; P. F. Vega Carrazan; R. Coppola; L. Ardito","Politecnico di Torino, Torino, Italy; Politecnico di Torino, Torino, Italy; Politecnico di Torino, Torino, Italy; Politecnico di Torino, Torino, Italy",2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),"13 Jun 2025","2025","","","41","44","In recent years, Large Language Models (LLMs) have been extensively used in several Software Engineering tasks, from requirements analysis to coding and software testing. Research has proved that LLMs can effectively generate software models to assist in software documentation. The goal of this study is to assess the capability of LLM agents to generate UML Use Case Diagrams (UCD), starting from software requirements in natural language. We perform the assessment in an educational setting, i.e., we evaluate the capability to solve software modeling exercises tailored for master's students in SE curricula. Our results, based on the comparison of the results obtained by a human and an LLM solver on 17 UCD modeling exercises, show that LLMs have comparable results in terms of completeness and redundancy of the generated diagrams, with no significant difference if compared to human-proposed solutions.","","979-8-3315-3864-4","10.1109/NLBSE66842.2025.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029431","Large Language Models;Use Case Diagrams;Software Modeling","Software testing;Large language models;Conferences;Unified modeling language;Redundancy;Natural languages;Documentation;Software;Encoding;Software engineering","","1","","15","IEEE","13 Jun 2025","27-28 April 2025","27-28 April 2025","IEEE","IEEE Conferences"
"Harnessing ChatGPT for Model Transformation in Software Architecture: From UML State Diagrams to Rebeca Models for Formal Verification","Z. Moezkarimi; K. Eriksson; A. A. Johansson; A. Bucaioni; M. Sirjani","School of Innovation, Design and Engineering, Mälardalen University, Västerås, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västerås, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västerås, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västerås, Sweden; School of Innovation, Design and Engineering, Mälardalen University, Västerås, Sweden",2025 IEEE 22nd International Conference on Software Architecture Companion (ICSA-C),"30 May 2025","2025","","","387","396","Software architecture relies heavily on modeling techniques to describe, analyze, and verify system designs. The Unified Modeling Language (UML) is widely recognized as both a de facto and de jure standard for modeling various types of systems. While UML has formalized semantics that enhance consistency and precision, it is not inherently designed for model checking. Rebeca, an actor-based modeling language, is designed to enable formal verification of concurrent reactive systems. Previous efforts to bridge UML and Rebeca through model transformations have required combining multiple UML diagrams and a deep understanding of Rebeca, limiting practical applicability. In this paper, we explore the potential of leveraging large language models, specifically GPT-4, to automate the transformation of UML state diagrams into Rebeca models. Using a few-shot learning approach, we investigated the feasibility of this translation process. Initial results revealed that UML state diagrams alone were insufficient for generating accurate Rebeca models. To address this limitation, we augmented the diagrams with metadata, enabling GPT-4 to produce models that required only minor corrections to be executable in Rebeca's model-checking tool, Afra. Our findings demonstrate that LLMs hold promise in facilitating model transformations for software architecture, particularly for translating UML state diagrams into Rebeca models for formal verification. While not yet fully automated, this approach significantly reduces the effort required for transformation, paving the way for further research into the integration of LLMs into model-driven engineering practices.","2768-4288","979-8-3315-3336-6","10.1109/ICSA-C65153.2025.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11014908","Model transformation;Large language model (LLM);Formal methods;Rebeca modeling language;Unified Modeling Language (UML) state diagram","Translation;Software architecture;Large language models;Unified modeling language;Semantics;Model checking;Model driven engineering;System analysis and design;Standards;Formal verification","","2","","27","IEEE","30 May 2025","31 March-4 April 2025","31 March-4 April 2025","IEEE","IEEE Conferences"
"UML Sequence Diagram Generation: A Multi-Model, Multi-Domain Evaluation","C. Xiao; D. Ståhl; J. Bosch","Ericsson A B, Linköping, Sweden; Ericsson AB, Linköping University, Linköping, Sweden; Computer Science and Engineering, Chalmers University of Technology, Gothenburg, Sweden",2025 IEEE/ACM 47th International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP),"20 Aug 2025","2025","","","272","283","The automation of Unified Modeling Language (UML) sequence diagram generation has posed a persistent challenge in software engineering, with existing approaches relying heavily on manual processes. Recent advancements in natural language processing (NLP), particularly through large language models (LLMs), offer promising solutions for automating this task. This paper investigates the use of LLMs in automating the generation of UML sequence diagrams from natural language requirements. We evaluate three state-of-the-art LLMs, GPT-4o, Mixtral 8x7B, and Llama 3.1 8B, across multiple datasets, including both public and proprietary requirements, to assess their performance in terms of correctness, completeness, clarity, and readability. The results indicate GPT-4o consistently outperforms the other models in most metrics. Our findings highlight the potential of LLMs to streamline requirements engineering by reducing manual effort, although further refinement is needed to enhance their performance in complex scenarios. This study provides key insights into the strengths and limitations of these models, and offers practical guidance for their application, advancing the understanding of how LLMs can support automation in software engineering tasks.","2832-7659","979-8-3315-3685-5","10.1109/ICSE-SEIP66354.2025.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11121690","Large Language Models (LLMs);Artificial Intelligence;Requirements Engineering;UML Sequence Diagram","Measurement;Automation;Large language models;Unified modeling language;Manuals;Natural language processing;Requirements engineering;Software engineering","","1","","46","IEEE","20 Aug 2025","27 April-3 May 2025","27 April-3 May 2025","IEEE","IEEE Conferences"
"ChatGPT's Aptitude in Utilizing UML Diagrams for Software Engineering Exercise Generation","S. Speth; N. Meißner; S. Becker","Institute of Software Engineering University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering University of Stuttgart, Stuttgart, Germany; Institute of Software Engineering University of Stuttgart, Stuttgart, Germany",2024 36th International Conference on Software Engineering Education and Training (CSEE&T),"10 Sep 2024","2024","","","1","5","The integration of Artificial Intelligence (AI) tech-nologies into educational settings has paved the way for inno-vative teaching and learning approaches. In Software Engineering (SE) education, using Unified Modeling Language (UML) diagrams is a fundamental teaching element for understanding complex software systems. This research addresses ChatGPT's ability to utilize UML class and sequence diagrams to create SE modeling exercises. We use ChatGPT to generate exercises based on the information from uploaded UML diagrams by analyzing textual UML representations such as Mermaid and graphical diagrams. The research explores ChatGPT's ability to synthesize UML-specific information from class and sequence diagrams, enabling the generation of various exercises tailored to strengthen conceptual understanding and practical application. Furthermore, we investigate generating graphical UML class and sequence diagrams based on natural language as input. By bridging the gap between AI -driven natural language understanding and the comprehension of UML diagrams, this study highlights the potential of ChatGPT to improve SE education. Our concise findings address educators, practitioners, and other researchers engaged in the field of SE education with a special focus on UML.","2377-570X","979-8-3503-7897-9","10.1109/CSEET62301.2024.10663027","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663027","AI-Generated Exercises;UML Modeling;Model Comprehension;ChatGPT;Software Engineering Education","Reviews;Unified modeling language;Education;Manuals;Learning (artificial intelligence);Chatbots;Software systems;Data mining;Engineering education;Software engineering","","3","","9","IEEE","10 Sep 2024","29 July-1 Aug. 2024","29 July-1 Aug. 2024","IEEE","IEEE Conferences"
