ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-MODELS-2024-MAIN-0001,MSU-MODELS-2024-MAIN,1,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,,"Front matter (Title, Copyright, Table of Contents, Sponsors, Model Driven Engineering Languages and Systems (MODELS), Organizing Committee, Steering Committee, Program Board, Program Committee)","Front matter (Title, Copyright, Table of Contents, Sponsors, Model Driven Engineering Languages and Systems (MODELS), Organizing Committee, Steering Committee, Program Board, Program Committee)",,,,,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/action/showFmPdf?doi=10.1145%2F3640310,,,,,,,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,"No publisher BibTeX entry exists for the front-matter item; normalized row derives only from the raw membership record."
MS-MODELS-2024-MAIN-0002,MSU-MODELS-2024-MAIN,2,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Partial Bidirectionalization of Model Transformation Languages","Partial Bidirectionalization of Model Transformation Languages","Soichiro Hidaka,Massimo Tisi","Soichiro Hidaka; Massimo Tisi",10.1145/3640310.3674083,10.1145/3640310.3674083,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674083,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674083,"Association for Computing Machinery","New York, NY, USA",9798400705045,"1–12",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674083,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0003,MSU-MODELS-2024-MAIN,3,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Text2VQL: Teaching a Model Query Language to Open-Source Language Models with ChatGPT","Text2VQL: Teaching a Model Query Language to Open-Source Language Models with ChatGPT","José Antonio Hernández López,Máté Földiák,Dániel Varró","José Antonio Hernández López; Máté Földiák; Dániel Varró",10.1145/3640310.3674091,10.1145/3640310.3674091,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674091,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674091,"Association for Computing Machinery","New York, NY, USA",9798400705045,"13–24",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674091,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0004,MSU-MODELS-2024-MAIN,4,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"10 years of Model Federation with Openflexo: Challenges and Lessons Learned","10 years of Model Federation with Openflexo: Challenges and Lessons Learned","Jean-Christophe Bach,Antoine Beugnard,Joël Champeau,Fabien Dagnat","Jean-Christophe Bach; Antoine Beugnard; Joël Champeau; Fabien Dagnat; Sylvain Guérin; Salvador Martínez",10.1145/3640310.3674084,10.1145/3640310.3674084,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674084,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674084,"Association for Computing Machinery","New York, NY, USA",9798400705045,"25–36",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674084,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0005,MSU-MODELS-2024-MAIN,5,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"EditQL: A Textual Query Language for Evolving Models","EditQL: A Textual Query Language for Evolving Models","Jakob Pietron,Benedikt Jutz,Alexander Raschke,Matthias Tichy","Jakob Pietron; Benedikt Jutz; Alexander Raschke; Matthias Tichy",10.1145/3640310.3674101,10.1145/3640310.3674101,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674101,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674101,"Association for Computing Machinery","New York, NY, USA",9798400705045,"37–48",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674101,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0006,MSU-MODELS-2024-MAIN,6,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Model Everything but with Intellectual Property Protection - The Deltachain Approach","Model Everything but with Intellectual Property Protection - The Deltachain Approach","Thomas Weber,Sebastian Weber","Thomas Weber; Sebastian Weber",10.1145/3640310.3674086,10.1145/3640310.3674086,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674086,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674086,"Association for Computing Machinery","New York, NY, USA",9798400705045,"49–56",8,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674086,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0007,MSU-MODELS-2024-MAIN,7,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"AlloyASG: Alloy Predicate Code Representation as a Compact Structurally Balanced Graph","AlloyASG: Alloy Predicate Code Representation as a Compact Structurally Balanced Graph","Guanxuan Wu,Allison Sullivan","Guanxuan Wu; Allison Sullivan",10.1145/3640310.3674088,10.1145/3640310.3674088,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674088,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674088,"Association for Computing Machinery","New York, NY, USA",9798400705045,"57–68",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674088,,NOT_REPORTED_BY_SOURCE,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0008,MSU-MODELS-2024-MAIN,8,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Product Lines of Graphical Modelling Languages","Product Lines of Graphical Modelling Languages","Antonio Garmendia,Esther Guerra,Juan de Lara","Antonio Garmendia; Esther Guerra; Juan de Lara",10.1145/3640310.3674082,10.1145/3640310.3674082,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674082,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674082,"Association for Computing Machinery","New York, NY, USA",9798400705045,"69–79",11,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674082,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0009,MSU-MODELS-2024-MAIN,9,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Tree-Based versus Hybrid Graphical-Textual Model Editors: An Empirical Study of Testing Specifications","Tree-Based versus Hybrid Graphical-Textual Model Editors: An Empirical Study of Testing Specifications","Ionut Predoaia,James Harbin,Simos Gerasimou,Christina Vasiliou","Ionut Predoaia; James Harbin; Simos Gerasimou; Christina Vasiliou; Dimitris Kolovos; Antonio García-Domínguez",10.1145/3640310.3674102,10.1145/3640310.3674102,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674102,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674102,"Association for Computing Machinery","New York, NY, USA",9798400705045,"80–91",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674102,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
MS-MODELS-2024-MAIN-0010,MSU-MODELS-2024-MAIN,10,SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,"Modeling Languages for Automotive Digital Twins: A Survey Among the German Automotive Industry","Modeling Languages for Automotive Digital Twins: A Survey Among the German Automotive Industry","Jérôme Pfeiffer,Dominik Fuchß,Thomas Kühn,Robin Liebhart,Dirk Neumann","Jérôme Pfeiffer; Dominik Fuchß; Thomas Kühn; Robin Liebhart; Dirk Neumann; Christer Neimöck; Christian Seiler; Anne Koziolek; Andreas Wortmann",10.1145/3640310.3674100,10.1145/3640310.3674100,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",2024,2024,"MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems",https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674100,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674100,"Association for Computing Machinery","New York, NY, USA",9798400705045,"92–103",12,"Linz, Austria","MODELS '24",,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,https://doi-org.ez371.periodicos.capes.gov.br/10.1145/3640310.3674100,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-11T21:36:00Z,2026-08-12T15:40:04Z,false,,,,
