ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
"MS-MODELS-2024-MAIN-0001","MSU-MODELS-2024-MAIN","1","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/action/showFmPdf?doi=10.1145%2F3640310","Front matter (Title, Copyright, Table of Contents, Sponsors, Model Driven Engineering Languages and Systems (MODELS), Organizing Committee, Steering Committee, Program Board, Program Committee)","","","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/action/showFmPdf?doi=10.1145%2F3640310","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","Observed in ACM Proceeding Downloads."
"MS-MODELS-2024-MAIN-0002","MSU-MODELS-2024-MAIN","2","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674083","Partial Bidirectionalization of Model Transformation Languages","Soichiro Hidaka,Massimo Tisi","10.1145/3640310.3674083","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674083","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0003","MSU-MODELS-2024-MAIN","3","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674091","Text2VQL: Teaching a Model Query Language to Open-Source Language Models with ChatGPT","José Antonio Hernández López,Máté Földiák,Dániel Varró","10.1145/3640310.3674091","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674091","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0004","MSU-MODELS-2024-MAIN","4","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674084","10 years of Model Federation with Openflexo: Challenges and Lessons Learned","Jean-Christophe Bach,Antoine Beugnard,Joël Champeau,Fabien Dagnat, + 2","10.1145/3640310.3674084","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674084","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","HTML author list truncated; interface indicated 2 additional author(s). ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0005","MSU-MODELS-2024-MAIN","5","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674101","EditQL: A Textual Query Language for Evolving Models","Jakob Pietron,Benedikt Jutz,Alexander Raschke,Matthias Tichy","10.1145/3640310.3674101","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674101","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0006","MSU-MODELS-2024-MAIN","6","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674086","Model Everything but with Intellectual Property Protection - The Deltachain Approach","Thomas Weber,Sebastian Weber","10.1145/3640310.3674086","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674086","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0007","MSU-MODELS-2024-MAIN","7","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674088","AlloyASG: Alloy Predicate Code Representation as a Compact Structurally Balanced Graph","Guanxuan Wu,Allison Sullivan","10.1145/3640310.3674088","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674088","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0008","MSU-MODELS-2024-MAIN","8","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674082","Product Lines of Graphical Modelling Languages","Antonio Garmendia,Esther Guerra,Juan de Lara","10.1145/3640310.3674082","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674082","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0009","MSU-MODELS-2024-MAIN","9","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674102","Tree-Based versus Hybrid Graphical-Textual Model Editors: An Empirical Study of Testing Specifications","Ionut Predoaia,James Harbin,Simos Gerasimou,Christina Vasiliou, + 2","10.1145/3640310.3674102","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674102","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","HTML author list truncated; interface indicated 2 additional author(s). ACM document type observed: research-article"
"MS-MODELS-2024-MAIN-0010","MSU-MODELS-2024-MAIN","10","SRC-MODELS-2024-MAIN-ACM-TOC-HUMAN-20260811","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674100","Modeling Languages for Automotive Digital Twins: A Survey Among the German Automotive Industry","Jérôme Pfeiffer,Dominik Fuchß,Thomas Kühn,Robin Liebhart,Dirk Neumann, + 4","10.1145/3640310.3674100","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","2024","MODELS '24: Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems","https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3640310.3674100","2026-08-11T21:36:00Z","extract_acm_proceedings_toc.pl (Perl HTML::TreeBuilder)","HTML author list truncated; interface indicated 4 additional author(s). ACM document type observed: research-article"
