EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,ControlledPath,ProcessingStatus,Notes
EVI-MODELS-CAPES-001,models_2018_companion.bib,2018,MAIN,Association for Computing Machinery,Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,BibTeX,331d0e12881625c388a2db0897d53e8a0aee0893e7af05d49c61b4209247a404,83654,45,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2018/publisher_export.bib,HISTORICAL_QUARANTINED,Content identifies the MODELS 2018 main proceedings despite the original filename.
EVI-MODELS-CAPES-002,models_2018_conference.bib,2018,MAIN,Association for Computing Machinery,Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,BibTeX,331d0e12881625c388a2db0897d53e8a0aee0893e7af05d49c61b4209247a404,83654,45,OUTSIDE_PROTOCOL_INTERVAL,EVI-MODELS-CAPES-001,VERIFIED,DUPLICATE,controlled://models/historical/2018/publisher_export.bib,DUPLICATE_RECORDED,Byte-identical to models_2018_companion.bib; only one canonical controlled copy is retained.
EVI-MODELS-CAPES-003,models_2019_companion.bib,2019,COMPANION,IEEE Press,Proceedings of the 22nd International Conference on Model Driven Engineering Languages and Systems Companion,BibTeX,14426dfb48421db648cd514461a3d46cb54116aa0d24b3e22d2024f31ba0afeb,203878,117,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2019/publisher_export.bib,HISTORICAL_QUARANTINED,Publisher metadata reports year 2021 although the venue identity and DOI values identify MODELS 2019 Companion; preserved without correction.
EVI-MODELS-CAPES-004,models_2020_companion.bib,2020,COMPANION,Association for Computing Machinery,Proceedings of the 23rd ACM/IEEE International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,BibTeX,e1074621ebd411b245c976cf4cbd5d8f4e5db5512e26bd17d517e07d67c4303c,176257,94,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2020/publisher_export.bib,HISTORICAL_QUARANTINED,Outside the protocol interval; no production unit instantiated.
EVI-MODELS-CAPES-005,models_2022_companion.bib,2022,COMPANION,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems: Companion Proceedings,BibTeX,30e13ecebbfa35c68bce17e62c8a799aa17612954d14bfeb9c6ae8782681d155,249756,133,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/companion/publisher_export.bib,INTAKE_COMPLETE,Publisher-generated metadata export; does not define documentary membership.
EVI-MODELS-CAPES-006,models_2022_conference.bib,2022,MAIN,Association for Computing Machinery,Proceedings of the 25th International Conference on Model Driven Engineering Languages and Systems,BibTeX,f1229af15dd5962cbcb9475b687cb2abb2996373423f75116152a573bd1574a1,72191,35,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2022/main/publisher_export.bib,INTAKE_COMPLETE,Publisher-generated metadata export; does not define documentary membership.
EVI-MODELS-CAPES-007,models_2024_companion.bib,2024,COMPANION,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,BibTeX,c82b6488559f24e446a932e53f99f1f85a53fa8e82596cac1ef628e0e03c5f15,291392,156,IN_SCOPE,,VERIFIED,ASSIGNED,controlled://models/2024/companion/publisher_export.bib,INTAKE_COMPLETE,Series metadata identifies MODELS Companion 2024; export does not define documentary membership.
EVI-MODELS-CAPES-008,models_2024_conference.bib,2024,MAIN,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,BibTeX,950537197d9a5d4313ec49b8b1f71a8d5b1175a5b87f4d0117b4f364f56ea86f,54469,26,IN_SCOPE,SRC-MODELS-2024-MAIN-ACM-BIBTEX-HUMAN-20260811,VERIFIED,DUPLICATE,controlled://MSU-MODELS-2024-MAIN/acm_primary_toc_2026-08-11.bib,DUPLICATE_RECORDED,Byte-identical to the controlled metadata evidence already registered for the validated pilot; the existing evidence was not replaced.
EVI-MODELS-CAPES-009,models_2018_companion_pdfs.zip,2018,MAIN,Association for Computing Machinery,Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,ZIP,7252d72fd638d0d9d956effe00b966345ef6d3787791b9226e1b9a9dcd5c923d,50698416,45,OUTSIDE_PROTOCOL_INTERVAL,,VERIFIED,ASSIGNED,controlled://models/historical/2018/publisher_pdf_package_001.zip,HISTORICAL_QUARANTINED,CONTROLLED_FULLTEXT_PACKAGE; PDF metadata corresponds to the MODELS 2018 main export and is not used for screening.
EVI-MODELS-CAPES-010,models_2018_conference_pdfs.zip,2018,MAIN,Association for Computing Machinery,Proceedings of the 21th ACM/IEEE International Conference on Model Driven Engineering Languages and Systems,ZIP,c0cc737ac7733f6bbecb538777d3dedb3f9976156fde66cd1551ec6f3608725e,50702414,45,OUTSIDE_PROTOCOL_INTERVAL,EVI-MODELS-CAPES-009,VERIFIED,DUPLICATE,controlled://models/historical/2018/publisher_pdf_package_002.zip,DUPLICATE_RECORDED,Archive bytes differ but all 45 PDF member SHA-256 values are identical to EVI-MODELS-CAPES-009.
