FamilyBatchID,Year,TrackType,VenuePlanID,ProceedingsIdentityStatus,OfficialEventURL,Publisher,ProceedingsTitle,ProceedingsDOI,ISBN,PrimaryTOCURL,VenueCrosscheckURL,ManualSearchUnitID,UnitStatus,DocumentaryCollectionStatus,CurrentBlocker,EvidencePath,Notes
MSB-MODELS-PREDISCOVERY-001,2022,MAIN,MVP-MODELS-MAIN,VERIFIED,https://conf.researchr.org/info/models-2022/conference-proceedings,Association for Computing Machinery,,10.1145/3550355,,https://dl.acm.org/doi/proceedings/10.1145/3550355,https://conf.researchr.org/track/models-2022/models-2022-technical-track,MSU-MODELS-2022-MAIN,BLOCKED,BLOCKED,ACM_PRIMARY_TOC_HTTP_403,search/manual/venues/models/2022/main/source/controlled_evidence_request.md,Official MODELS proceedings page identifies the publisher volume; complete PRIMARY_TOC acquisition is blocked.
MSB-MODELS-PREDISCOVERY-001,2022,COMPANION,MVP-MODELS-COMPANION,VERIFIED,https://conf.researchr.org/info/models-2022/conference-proceedings,Association for Computing Machinery,,10.1145/3550356,,https://dl.acm.org/doi/proceedings/10.1145/3550356,https://conf.researchr.org/program/models-2022/program-models-2022/,MSU-MODELS-2022-COMPANION,BLOCKED,BLOCKED,ACM_PRIMARY_TOC_HTTP_403,search/manual/venues/models/2022/companion/source/controlled_evidence_request.md,Official MODELS proceedings page identifies the publisher volume; complete PRIMARY_TOC acquisition is blocked.
MSB-MODELS-PREDISCOVERY-001,2023,MAIN,MVP-MODELS-MAIN,BLOCKED,https://conf.researchr.org/track/models-2023/models-2023-technical-track,IEEE,2023 ACM/IEEE 26th International Conference on Model Driven Engineering Languages and Systems,,,,https://conf.researchr.org/track/models-2023/models-2023-technical-track,,BLOCKED,BLOCKED,OFFICIAL_PUBLISHER_VOLUME_LOCATOR_NOT_ESTABLISHED,search/manual/venues/models/models_family_collection_audit.md,The official track confirms IEEE publication but an official complete proceedings locator was not established; no unit was instantiated.
MSB-MODELS-PREDISCOVERY-001,2023,COMPANION,MVP-MODELS-COMPANION,VERIFIED,https://conf.researchr.org/home/models-2023,IEEE,2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion,,,https://ieeexplore.ieee.org/document/10350807,https://conf.researchr.org/program/models-2023/program-models-2023/,MSU-MODELS-2023-COMPANION,BLOCKED,BLOCKED,IEEE_PRIMARY_TOC_HTTP_202_EMPTY_AND_METADATA_HTTP_418,search/manual/venues/models/2023/companion/source/controlled_evidence_request.md,IEEE conference publication identity is indexed officially; complete PRIMARY_TOC acquisition is blocked.
MSB-MODELS-PREDISCOVERY-001,2024,MAIN,MVP-MODELS-MAIN,VERIFIED,https://conf.researchr.org/home/models-2024,Association for Computing Machinery,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,10.1145/3640310,979-8-4007-0504-5,https://dl.acm.org/doi/proceedings/10.1145/3640310,https://conf.researchr.org/track/models-2024/models-2024-technical-track,MSU-MODELS-2024-MAIN,IN_PROGRESS,COMPLETE,,search/manual/venues/models/2024/main/,Validated pilot and positive control; unit artifacts are not modified by this batch.
MSB-MODELS-PREDISCOVERY-001,2024,COMPANION,MVP-MODELS-COMPANION,VERIFIED,https://conf.researchr.org/home/models-2024,Association for Computing Machinery,,10.1145/3652620,,https://dl.acm.org/doi/proceedings/10.1145/3652620,https://conf.researchr.org/program/models-2024/program-models-2024/,MSU-MODELS-2024-COMPANION,BLOCKED,BLOCKED,ACM_PRIMARY_TOC_HTTP_403,search/manual/venues/models/2024/companion/source/controlled_evidence_request.md,Publisher proceedings locator is official; complete PRIMARY_TOC acquisition is blocked.
MSB-MODELS-PREDISCOVERY-001,2025,MAIN,MVP-MODELS-MAIN,BLOCKED,https://conf.researchr.org/track/models-2025/models-2025-research-papers,IEEE,2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems,,,,https://conf.researchr.org/track/models-2025/models-2025-research-papers,,BLOCKED,BLOCKED,OFFICIAL_PUBLISHER_VOLUME_LOCATOR_NOT_ESTABLISHED,search/manual/venues/models/models_family_collection_audit.md,Official records demonstrate publication but no complete official proceedings locator was established; no unit was instantiated.
MSB-MODELS-PREDISCOVERY-001,2025,COMPANION,MVP-MODELS-COMPANION,BLOCKED,https://conf.researchr.org/home/models-2025,IEEE,2025 ACM/IEEE 28th International Conference on Model Driven Engineering Languages and Systems Companion,,,,https://conf.researchr.org/program/models-2025/program-models-2025/,,BLOCKED,BLOCKED,OFFICIAL_PUBLISHER_VOLUME_LOCATOR_NOT_ESTABLISHED,search/manual/venues/models/models_family_collection_audit.md,Official publisher article records demonstrate publication but no complete official proceedings locator was established; no unit was instantiated.
MSB-MODELS-PREDISCOVERY-001,2026,MAIN,MVP-MODELS-MAIN,NOT_YET_PUBLISHED,https://conf.researchr.org/home/models-2026,,,,,,https://conf.researchr.org/home/models-2026,,PENDING,NOT_STARTED,PROCEEDINGS_NOT_YET_PUBLISHED,search/manual/venues/models/models_family_collection_audit.md,Official event is forthcoming and no published proceedings identity was established at batch execution time.
MSB-MODELS-PREDISCOVERY-001,2026,COMPANION,MVP-MODELS-COMPANION,NOT_YET_PUBLISHED,https://conf.researchr.org/home/models-2026,,,,,,https://conf.researchr.org/home/models-2026,,PENDING,NOT_STARTED,PROCEEDINGS_NOT_YET_PUBLISHED,search/manual/venues/models/models_family_collection_audit.md,Official event is forthcoming and no published companion proceedings identity was established at batch execution time.
