ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-MODELSWARD-2024-0001,MSU-MODELSWARD-2024,1,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=JhUOH9b0c7g=&t=1,The Lifecycle of Data Clumps: A Longitudinal Case Study in Open-Source Projects,Nils Baumgartner; Elke Pulvermüller,10.5220/0012313900003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=JhUOH9b0c7g=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0002,MSU-MODELSWARD-2024,2,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=49M16ZCcdxM=&t=1,System Architects Are not Alone Anymore: Automatic System Modeling with AI,Ludovic Apvrille; Bastien Sultan,10.5220/0012320100003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=49M16ZCcdxM=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0003,MSU-MODELSWARD-2024,3,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=xajPkBf1x0w=&t=1,Fault Tree Reliability Analysis via Squarefree Polynomials,Milan Lopuhaä-Zwakenberg,10.5220/0012334000003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=xajPkBf1x0w=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0004,MSU-MODELSWARD-2024,4,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=HKQTKlJs/B4=&t=1,An Analysis and Simulation Framework for Systems with Classification Components,Francesco Bedini; Tino Jungebloud; Ralph Maschotta; Armin Zimmermann,10.5220/0012357000003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=HKQTKlJs/B4=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0005,MSU-MODELSWARD-2024,5,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=Q4uDIJrMJ+I=&t=1,Kant: A Domain-Specific Language for Modeling Security Protocols,C. Braghin; M. Lilli; E. Riccobene K. Notari; Marian Baba,10.5220/0012386400003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=Q4uDIJrMJ+I=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0006,MSU-MODELSWARD-2024,6,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=N8BJrtkZR2c=&t=1,Large Language Models in Enterprise Modeling: Case Study and Experiences,Leon Görgen; Eric Müller; Marcus Triller; Benjamin Nast; Kurt Sandkuhl,10.5220/0012387000003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=N8BJrtkZR2c=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0007,MSU-MODELSWARD-2024,7,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=ZeM+h9N96Ns=&t=1,DecSup: An Architecture Description Language for Specifying and Simulating the Decision Support System Architectures,Mert Ozkaya; Mehmet Kose; Egehan Asal,10.5220/0012231200003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=ZeM+h9N96Ns=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0008,MSU-MODELSWARD-2024,8,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=K+XEqps9Wg4=&t=1,A Model-Based Framework for News Content Analysis,Fazle Rabbi; Bahareh Fatemi; Yngve Lamo; Andreas L. Opdahl,10.5220/0012306800003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=K+XEqps9Wg4=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0009,MSU-MODELSWARD-2024,9,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=ZBIZhkPOuVc=&t=1,Concept of Automated Testing of Interactions with a Domain-Specific Modeling Framework with a Combination of Class and Syntax Diagrams,Vanessa Tietz; Bjoern Annighoefer,10.5220/0012307400003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=ZBIZhkPOuVc=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0010,MSU-MODELSWARD-2024,10,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=mBwwyzljA8o=&t=1,Model-Based Assessment of Conformance to Acknowledged Security-Related Software Architecture Good Practices,Monica Buitrago; Isabelle Borne; Jérémy Buisson,10.5220/0012312400003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=mBwwyzljA8o=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0011,MSU-MODELSWARD-2024,11,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=bRMucNdITiM=&t=1,Comparative Evaluation of NLP Approaches for Requirements Formalisation,Shekoufeh Kolahdouz Rahimi; Kevin Lano; Sobhan Tehrani; Chenghua Lin; Yiqi Liu; Muhammad Umar,10.5220/0012318700003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=bRMucNdITiM=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0012,MSU-MODELSWARD-2024,12,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=d8OIN71m0sE=&t=1,"Torque not Work, Representing Kinds of Quantities",Steve McKeever,10.5220/0012318900003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=d8OIN71m0sE=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-MODELSWARD-2024-0013,MSU-MODELSWARD-2024,13,SRC-MODELSWARD-2024-SCITEPRESS-TOC-HUMAN-20260815,https://www.scitepress.org/PublicationsDetail.aspx?ID=k6v67PbTSow=&t=1,MDE-Based Graphical Tool for Modeling Data Provenance According to the W3C PROV Standard,Marcos Vieira; Sergio Carvalho,10.5220/0012354700003645,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2024,978-989-758-682-8,https://www.scitepress.org/PublicationsDetail.aspx?ID=k6v67PbTSow=&t=1,2026-08-14T21:40:40Z,audit_scitepress_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
