ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-MODELSWARD-2025-0001,MSU-MODELSWARD-2025,1,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Digital Twins: Models Everywhere,Digital Twins: Models Everywhere,Øystein Haugen,Øystein Haugen,10.5220/0013454700003896,10.5220/0013454700003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=5UIYgZnRCVs=&t=1,,SciTePress,,978-989-758-729-0,5-5,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0002,MSU-MODELSWARD-2025,2,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems,LLFSMs to TLA+: A Model-to-Text Transformation of Executable Models Enabling Specification and Verification of Multi-Threaded and Concurrent Systems,Vladimir Estivill-Castro; Miguel Carrillo; David Rosenblueth,Vladimir Estivill-Castro; Miguel Carrillo; David Rosenblueth,10.5220/0013094700003896,10.5220/0013094700003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=enrOh0p9GEw=&t=1,,SciTePress,,978-989-758-729-0,15-26,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0003,MSU-MODELSWARD-2025,3,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Designing a Meta-Model for the Eclipse Qrisp eDSL for High-Level Quantum Programming,Designing a Meta-Model for the Eclipse Qrisp eDSL for High-Level Quantum Programming,Sebastian Bock; Raphael Seidel; Matic Petrič; Nikolay Tcholtchev; Andreas Hoffmann; Niklas Porges,Sebastian Bock; Raphael Seidel; Matic Petrič; Nikolay Tcholtchev; Andreas Hoffmann; Niklas Porges,10.5220/0013121000003896,10.5220/0013121000003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=PBVQ6oDG+e4=&t=1,,SciTePress,,978-989-758-729-0,27-39,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0004,MSU-MODELSWARD-2025,4,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Towards a Domain-Specific Modelling Environment for Reinforcement Learning,Towards a Domain-Specific Modelling Environment for Reinforcement Learning,Natalie Sinani; Sahil Salma; Paul Boutot; Sadaf Mustafiz,Natalie Sinani; Sahil Salma; Paul Boutot; Sadaf Mustafiz,10.5220/0013123800003896,10.5220/0013123800003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=cRCerBjmVh0=&t=1,,SciTePress,,978-989-758-729-0,40-51,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0005,MSU-MODELSWARD-2025,5,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Towards the Model-Driven Development of Adaptive Cloud Applications by Leveraging UML-RT and Container Orchestration,Towards the Model-Driven Development of Adaptive Cloud Applications by Leveraging UML-RT and Container Orchestration,Mufasir Muthaher Mohammed; Karim Jahed; Juergen Dingel; David Lamb,Mufasir Muthaher Mohammed; Karim Jahed; Juergen Dingel; David Lamb,10.5220/0013148000003896,10.5220/0013148000003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=NsZlpW1V5CQ=&t=1,,SciTePress,,978-989-758-729-0,52-63,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0006,MSU-MODELSWARD-2025,6,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,HyperGraphOS: A Meta Operating System for Science and Engineering,HyperGraphOS: A Meta Operating System for Science and Engineering,Antonello Ceravola; Frank Joublin; Ahmed Sadik; Bram Bolder; Juha-Pekka Tolvanen,Antonello Ceravola; Frank Joublin; Ahmed Sadik; Bram Bolder; Juha-Pekka Tolvanen,10.5220/0013164900003896,10.5220/0013164900003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=2REz9X7yfxQ=&t=1,,SciTePress,,978-989-758-729-0,64-74,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0007,MSU-MODELSWARD-2025,7,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Automated Generation of Standardised Digital Twins Based on MBSE Models,Automated Generation of Standardised Digital Twins Based on MBSE Models,Philippe Barbie; Andreas Pollom; Rene-Pascal Fischer; Martin Becker,Philippe Barbie; Andreas Pollom; Rene-Pascal Fischer; Martin Becker,10.5220/0013190300003896,10.5220/0013190300003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=tmXaEWYB/9A=&t=1,,SciTePress,,978-989-758-729-0,75-84,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0008,MSU-MODELSWARD-2025,8,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,From Plain English to XACML Policies: An AI-Based Pipeline Approach,From Plain English to XACML Policies: An AI-Based Pipeline Approach,Maria Teresa Paratore; Eda Marchetti; Antonello Calabrò,Maria Teresa Paratore; Eda Marchetti; Antonello Calabrò,10.5220/0013357200003896,10.5220/0013357200003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=d9VtOFDL99M=&t=1,,SciTePress,,978-989-758-729-0,85-96,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0009,MSU-MODELSWARD-2025,9,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,An Automated and Intelligent Interface Embracing Process Awareness into User Workspace,An Automated and Intelligent Interface Embracing Process Awareness into User Workspace,Minh Khoi Nguyen; Hanh Tran; Ileana Ober; Razan Abualsaud,Minh Khoi Nguyen; Hanh Tran; Ileana Ober; Razan Abualsaud,10.5220/0013370200003896,10.5220/0013370200003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=FyrzOhSEg+4=&t=1,,SciTePress,,978-989-758-729-0,97-108,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2025-0010,MSU-MODELSWARD-2025,10,SRC-MODELSWARD-2025-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2025-SCITEPRESS-BIBTEX-HUMAN-20260815,Advancing IoT Architectures Using Collaborative Computing Paradigms for Dynamic and Scalable Systems,Advancing IoT Architectures Using Collaborative Computing Paradigms for Dynamic and Scalable Systems,Prashant Joshi; Bharat Deshpande,Prashant Joshi; Bharat Deshpande,10.5220/0013388900003896,10.5220/0013388900003896,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,2025,2025,978-989-758-729-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=5IQwSTcGaGw=&t=1,,SciTePress,,978-989-758-729-0,109-121,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:41:58Z,2026-08-15T00:57:42Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
