EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,EvidenceRole,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,HTMLCompletenessStatus,ControlledPath,ProcessingStatus,Notes
EVI-MODELSWARD-CAPES-001,modelsward_2022_toc.html,2022,MODELSWARD,SciTePress,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,PRIMARY_TOC,HTML,739b65e3e970e861b2b3fa288d701a14f1e436bd0acaafc4debb06492413249d,434583,43,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://modelsward/2022/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local SCITEPRESS ProceedingsDetails page; cardinality agrees with the independently parsed publisher export.
EVI-MODELSWARD-CAPES-002,MODELSWARD_2022.bib,2022,MODELSWARD,SciTePress,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,METADATA_SOURCE,BibTeX,0702cadc6107ee2230daafdd6acf476b80ef4609c42d91110f61c1ac923e0de4,66984,43,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://modelsward/2022/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher aggregate export parsed with BibTeX::Parser 1.05; does not independently define membership.
EVI-MODELSWARD-CAPES-003,modelsward_2023_toc.html,2023,MODELSWARD,SciTePress,Proceedings of the 11th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,PRIMARY_TOC,HTML,d2b2a4d4f5aca0bd3b11f0417429f7c9d1032c2a29a21fc35ca4ec5aa29bb3fc,384732,30,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://modelsward/2023/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local SCITEPRESS ProceedingsDetails page; cardinality agrees with the independently parsed publisher export.
EVI-MODELSWARD-CAPES-004,MODELSWARD_2023.bib,2023,MODELSWARD,SciTePress,Proceedings of the 11th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,METADATA_SOURCE,BibTeX,44de4c8392057d768a83b2587174b909d7a66dc7e5be487e1acdbd5adbe54079,46310,30,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://modelsward/2023/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher aggregate export parsed with BibTeX::Parser 1.05; does not independently define membership.
EVI-MODELSWARD-CAPES-005,modelsward_2024_toc.html,2024,MODELSWARD,SciTePress,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,PRIMARY_TOC,HTML,b7000e362c80a01d42fcda3331f19df8b76c86d62f37fcaeb0f862dd6859fec5,411805,40,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://modelsward/2024/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local SCITEPRESS ProceedingsDetails page; cardinality agrees with the independently parsed publisher export.
EVI-MODELSWARD-CAPES-006,MODELSWARD_2024.bib,2024,MODELSWARD,SciTePress,Proceedings of the 12th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,METADATA_SOURCE,BibTeX,d1586caff97be04d52cd5a6e16e05b2ea3ce8c84959f2dd1d810bb813a01776f,62259,40,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://modelsward/2024/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher aggregate export parsed with BibTeX::Parser 1.05; does not independently define membership.
EVI-MODELSWARD-CAPES-007,modelsward_2025_toc.html,2025,MODELSWARD,SciTePress,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,PRIMARY_TOC,HTML,a04be8b2202b927228f237d1962510aac08f53bd1e3fb4ac9ef388336e97d3a2,451706,46,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://modelsward/2025/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local SCITEPRESS ProceedingsDetails page; cardinality agrees with the independently parsed publisher export.
EVI-MODELSWARD-CAPES-008,MODELSWARD_2025.bib,2025,MODELSWARD,SciTePress,Proceedings of the 13th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,METADATA_SOURCE,BibTeX,fea87e763c653268896c6efe8c75f6f4c50c3647cfafb5323c454a4c4e4fd426,79157,46,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://modelsward/2025/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher aggregate export parsed with BibTeX::Parser 1.05; does not independently define membership.
EVI-MODELSWARD-CAPES-009,modelsward_2026_toc.html,2026,MODELSWARD,SciTePress,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,PRIMARY_TOC,HTML,8f52d1b495ef4f68242fd3af17e305e1e5054a304d6c8c13f10b5ab204b6427e,455851,50,IN_SCOPE,,VERIFIED,ASSIGNED,PARTIAL_TOC,controlled://modelsward/2026/publisher_primary_toc.html,INTAKE_BLOCKED,The saved ProceedingsDetails page materializes 50 of 59 publisher export records because the selected page size is 50; it cannot define a complete inventory.
EVI-MODELSWARD-CAPES-010,MODELSWARD_2026.bib,2026,MODELSWARD,SciTePress,Proceedings of the 14th International Conference on Model-Based Software and Systems Engineering - MODELSWARD,METADATA_SOURCE,BibTeX,8be30df4c7e6349292840b0538b848fbd2eb4b8b0d35e63b33016c04ab46f8f2,102802,59,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://modelsward/2026/publisher_export.bib,INTAKE_COMPLETE,Publisher aggregate export parsed with BibTeX::Parser 1.05; does not independently define membership.
EVI-MODELSWARD-CAPES-011,modelsward_2022_official_site_crosscheck.html,2022,MODELSWARD,SCITEVENTS,MODELSWARD 2022,VENUE_CROSSCHECK,HTML,c7a0032fc48f448958baee9e51f47e3c09a6ed876b517886a86f06d705337ae8,60058,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://modelsward/2022/official_site_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=EVENT_LEVEL. Official annual conference page links to a remote technical program but materializes no paper-level records locally.
EVI-MODELSWARD-CAPES-012,modelsward_2023_official_site_crosscheck.html,2023,MODELSWARD,SCITEVENTS,MODELSWARD 2023,VENUE_CROSSCHECK,HTML,54ad700cc8e35a9e8fe918450c9397c87d384230bcd6ce6b87d7354fab57fcd8,64766,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://modelsward/2023/official_site_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=EVENT_LEVEL. Official annual conference page links to a remote technical program but materializes no paper-level records locally.
EVI-MODELSWARD-CAPES-013,modelsward_2024_official_site_crosscheck.html,2024,MODELSWARD,SCITEVENTS,MODELSWARD 2024,VENUE_CROSSCHECK,HTML,03dfb2cfbb0beadb4655c35abe82ca46db0d3616114268bfe9d6dc4a8eb6e6a0,66170,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://modelsward/2024/official_site_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=EVENT_LEVEL. Official annual conference page links to a remote technical program but materializes no paper-level records locally.
EVI-MODELSWARD-CAPES-014,modelsward_2025_official_site_crosscheck.html,2025,MODELSWARD,SCITEVENTS,MODELSWARD 2025,VENUE_CROSSCHECK,HTML,71b274efaec6e62bd078f5d90c83f8eaff7f243654badfb67d52350e7757667b,63641,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://modelsward/2025/official_site_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=EVENT_LEVEL. Official annual conference page links to a remote technical program but materializes no paper-level records locally.
EVI-MODELSWARD-CAPES-015,modelsward_2026_official_site_crosscheck.html,2026,MODELSWARD,SCITEVENTS,MODELSWARD 2026,VENUE_CROSSCHECK,HTML,628113d5c1e79d1ef4ece578dac83d61f8f9c9226277cb4b57a48ad3ea7cba57,63199,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://modelsward/2026/official_site_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=EVENT_LEVEL. Official annual conference page links to a remote technical program but materializes no paper-level records locally.
