ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-NLBSE-2025-0001,MSU-NLBSE-2025,1,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,,Title Page,,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0002,MSU-NLBSE-2025,2,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,,Title Page,,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0003,MSU-NLBSE-2025,3,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,,Copyright Page,,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0004,MSU-NLBSE-2025,4,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,,Table of Contents,,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0005,MSU-NLBSE-2025,5,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029441/,Message from NLBSE 2025 Program Chairs,Maliheh Izadi; Andrea Di Sorbo; Sebastiano Panichella,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029441/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0006,MSU-NLBSE-2025,6,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029382/,Analyzing Toxicity in Open Source Software Communications Using Psycholinguistics and Moral Foundations Theory,Ramtin Ehsani; Rezvaneh Rezapour; Preetha Chatterjee,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029382/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0007,MSU-NLBSE-2025,7,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029433/,SkillScope: A Tool to Predict Fine-Grained Skills Needed to Solve Issues on GitHub,Benjamin C. Carter; Jonathan Rivas Contreras; Carlos A. Llanes Villegas; Pawan Acharya; Jack Utzerath; Adonijah O. Farner; Hunter Jenkins; Dylan Johnson; Jacob Penney; Igor Steinmacher; Marco A. Gerosa; Fabio Santos,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029433/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0008,MSU-NLBSE-2025,8,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029381/,Synthesizing Access Control Policies Using Large Language Models,Adarsh Vatsa; Pratyush Patel; William Eiers,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029381/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0009,MSU-NLBSE-2025,9,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029426/,Semantic API Alignment: Linking High-Level User Goals to APIs,Robert Feldt; Riccardo Coppola,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029426/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2025-0010,MSU-NLBSE-2025,10,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,https://ieeexplore.ieee.org/document/11029440/,Evaluating the Performance and Efficiency of Sentence-BERT for Code Comment Classification,Fabian C. Peña; Steffen Herbold,,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029440/,2026-08-14T20:23:12Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
