ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-REW-2022-WORKSHOPS-0001,MSU-REW-2022-WORKSHOPS,1,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920119/,Title Page i,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920119/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0002,MSU-REW-2022-WORKSHOPS,2,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920154/,Title Page iii,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920154/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0003,MSU-REW-2022-WORKSHOPS,3,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,,Copyright Page,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0004,MSU-REW-2022-WORKSHOPS,4,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,,Table of Contents,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0005,MSU-REW-2022-WORKSHOPS,5,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920151/,Welcome from the RE 2022 Chairs,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920151/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0006,MSU-REW-2022-WORKSHOPS,6,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,,RE 2022 Organizing Committee,,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0007,MSU-REW-2022-WORKSHOPS,7,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920158/,An RE’22 Workshop on Environment-Driven Requirements Engineering (EnviRE’22),Zhi Jin; Nan Niu; Yijun Yu,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920158/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0008,MSU-REW-2022-WORKSHOPS,8,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920155/,Requirements Engineering for Feedback Loops in Software-Intensive Systems,Eunsuk Kang; Rômulo Meira-Góes,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920155/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0009,MSU-REW-2022-WORKSHOPS,9,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920136/,Environment Assertion Driven Requirements Elicitation: A Preliminary Study,Austin Reid Thompson; Tanmay Bhowmik; Nan Niu,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920136/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0010,MSU-REW-2022-WORKSHOPS,10,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920117/,Eliciting Environmental Opposites for Requirements-Based Testing,Sarah Sturmer; Nan Niu; Tanmay Bhowmik; Juha Savolainen,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920117/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0011,MSU-REW-2022-WORKSHOPS,11,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920132/,Requirements Patterns for Complex Embedded Systems,Xiaoqi Wang; Xiaohong Chen; Xiao Yang; Bo Yang,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920132/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0012,MSU-REW-2022-WORKSHOPS,12,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920157/,Extracting Requirements Models from Natural-Language Document for Embedded Systems,Chunhui Wang; Lu Hou; Xiaohong Chen,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920157/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0013,MSU-REW-2022-WORKSHOPS,13,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920134/,"Welcome to REWBAH 2022: The Third International Workshop on Requirements Engineering for Well-Being, Aging, and Health",,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920134/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0014,MSU-REW-2022-WORKSHOPS,14,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920147/,Multifaceted Requirements Engineering: Developing A MESH (Municipal-Environmental-Social-Health) Platform,Meira Levy; Safed Israel; Michal Pauzner,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920147/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0015,MSU-REW-2022-WORKSHOPS,15,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920121/,Towards Adapting Questionnaires for Long-Term Online Dynamic Monitoring of Patients,Farhat-Ul Farhat-ul-Ain; Vladimir Tomberg; Hugo Plácido da Silva,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920121/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0016,MSU-REW-2022-WORKSHOPS,16,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920129/,A Participatory Design Methodology to Elicit Aging- in-Place Stakeholder Concerns with Ambient Assistive Living (AAL) Devices During COVID-19,Katherine-Marie Robinson; Rachana Devkota; Jason Millar,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920129/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0017,MSU-REW-2022-WORKSHOPS,17,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920153/,Toward Emotion-Oriented Requirements Engineering: A Case Study of a Virtual Clinics Application,Mashail N. Alkhomsan; Malak Baslyman; Mohammad Alshayeb,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920153/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-REW-2022-WORKSHOPS-0018,MSU-REW-2022-WORKSHOPS,18,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/9920125/,"Understanding IT-related Well-being, Aging and Health Needs of Older Adults with Crowd-Requirements Engineering",Leon Radeck; Barbara Paech; Franziska Kramer-Gmeiner; Markus Wettstein; Hans-Werner Wahl; Anna-Lena Schubert; Uwe Sperling,,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920125/,2026-08-14T13:09:43.860801Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
