EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,EvidenceRole,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,HTMLCompletenessStatus,ControlledPath,ProcessingStatus,Notes
EVI-RE-CAPES-001,re_2022_main.bib,2022,MAIN,IEEE,2022 IEEE 30th International Requirements Engineering Conference (RE),METADATA_SOURCE,BibTeX,0a8dcb65bbe3a25392825fb07e5a2d3b4d3ee84208bc9527e7ad86826fb95f25,76473,49,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2022/main/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
EVI-RE-CAPES-002,re_2022_main_toc.html,2022,MAIN,IEEE,2022 IEEE 30th International Requirements Engineering Conference (RE),PRIMARY_TOC,HTML,514b3ff55c04706b76321347eaac8d6f9def442d494037560987a84c2ac6548b,730721,49,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://re/2022/main/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Official publisher TOC reports Showing 1-49 of 49 and locally materializes 49 ordered items; venue crosscheck remains required.
EVI-RE-CAPES-003,re_2022_workshops.bib,2022,WORKSHOPS,IEEE,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),METADATA_SOURCE,BibTeX,0ee2216efa0c5a902a05824cff507140c065ce58da571c331e75046653ac7ac6,77256,54,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2022/workshops/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
EVI-RE-CAPES-004,rew_2022_toc.html.html,2022,WORKSHOPS,IEEE,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),PRIMARY_TOC,HTML,85c8c8fc6ede4d7dd101b3781562b6085c939846ee1c487d9a20b1c762836a40,765223,54,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://re/2022/workshops/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Official publisher TOC reports Showing 1-54 of 54 and locally materializes 54 ordered items; venue crosscheck remains required.
EVI-RE-CAPES-005,re_2023_main.bib,2023,MAIN,IEEE,2023 IEEE 31st International Requirements Engineering Conference (RE),METADATA_SOURCE,BibTeX,a817a2a78da964b93879938614407ebbf3b4a58b47e8ac6b02ebf74f4ea5738a,102038,63,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2023/main/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
EVI-RE-CAPES-006,re_2023_main_toc.html.html,2023,MAIN,IEEE,2023 IEEE 31st International Requirements Engineering Conference (RE),PRIMARY_TOC,HTML,a321ec72b5fad8392416c419350b0bd977f49a7cb47871827d1b7b0cdd29d46a,904076,63,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://re/2023/main/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Official publisher TOC reports Showing 1-63 of 63 and locally materializes 63 ordered items; venue crosscheck remains required.
EVI-RE-CAPES-007,re_2023_workshops.bib,2023,WORKSHOPS,IEEE,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),METADATA_SOURCE,BibTeX,0a88f476da5ba54565edf8f1bda70dabd90a7cd8f7d3c7044f7dc5a1e14ce729,149419,91,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2023/workshops/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
EVI-RE-CAPES-008,rew_2023_toc.html,2023,WORKSHOPS,IEEE,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),PRIMARY_TOC,HTML,312b19c0fe03673305c59637ef543721559a406159d5aa0fdac14f186515678c,1204993,91,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://re/2023/workshops/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Official publisher TOC reports Showing 1-91 of 91 and locally materializes 91 ordered items; venue crosscheck remains required.
EVI-RE-CAPES-009,re_2024_main.bib,2024,MAIN,IEEE,2024 IEEE 32nd International Requirements Engineering Conference (RE),METADATA_SOURCE,BibTeX,b898a6878bdb1da5e29faead0690a68ce73838bc57552dfa0144179f0e784443,116803,69,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2024/main/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
EVI-RE-CAPES-010,re_2024_main_toc.html,2024,MAIN,IEEE,2024 IEEE 32nd International Requirements Engineering Conference (RE),PRIMARY_TOC,HTML,0015524781a7c5d50fb022af5e51e5e95342995713c220cc79887d26dbca9c93,967843,69,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://re/2024/main/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Official publisher TOC reports Showing 1-69 of 69 and locally materializes 69 ordered items; venue crosscheck remains required.
EVI-RE-CAPES-011,re_2024_workshops.bib,2024,WORKSHOPS,IEEE,2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),METADATA_SOURCE,BibTeX,eb7f995184464659bad6ed0b393c6d30bdf07cfb5f0d6fcea51966b854154d73,106816,62,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://re/2024/workshops/publisher_export.bib,INTAKE_COMPLETE,Publisher export parsed with BibTeX::Parser 1.05; metadata source only and does not define documentary membership.
