FamilyBatchID,Year,TrackType,VenuePlanID,ProceedingsIdentityStatus,Publisher,ProceedingsTitle,ProceedingsDOI,ISBN,PrimaryTOCStatus,MetadataExportStatus,VenueCrosscheckStatus,PDFPackageStatus,ManualSearchUnitID,UnitStatus,DocumentaryCollectionStatus,CurrentBlocker,EvidencePath,Notes
MSB-RE-PREDISCOVERY-001,2022,MAIN,MVP-IEEE-RE,VERIFIED,IEEE,2022 IEEE 30th International Requirements Engineering Conference (RE),10.1109/RE54965.2022,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,COMPLETE,NOT_RECEIVED,MSU-RE-2022-MAIN,IN_PROGRESS,COMPLETE,,search/manual/venues/re/2022/main/source/source_manifest.csv,Official item-level accepted-paper crosscheck covers every publisher research item without material conflict; 49 raw and 49 normalized rows remain unchanged. Discovery is deferred.
MSB-RE-PREDISCOVERY-001,2022,WORKSHOPS,MVP-IEEE-RE,VERIFIED,IEEE,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),10.1109/REW56159.2022,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-REW-2022-WORKSHOPS,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2022/workshops/source/source_manifest.csv,Official workshop session page is track-level and does not enumerate complete proceedings papers; 54 raw and 54 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2023,MAIN,MVP-IEEE-RE,VERIFIED,IEEE,2023 IEEE 31st International Requirements Engineering Conference (RE),10.1109/RE57278.2023,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-RE-2023-MAIN,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2023/main/source/source_manifest.csv,Official session/program page leaves 16 publisher research items unmatched; 63 raw and 63 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2023,WORKSHOPS,MVP-IEEE-RE,VERIFIED,IEEE,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),10.1109/REW57809.2023,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-REW-2023-WORKSHOPS,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2023/workshops/source/source_manifest.csv,Official workshop session page is track-level and does not enumerate complete proceedings papers; 91 raw and 91 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2024,MAIN,MVP-IEEE-RE,VERIFIED,IEEE,2024 IEEE 32nd International Requirements Engineering Conference (RE),10.1109/RE59067.2024,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-RE-2024-MAIN,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2024/main/source/source_manifest.csv,Official session/program page leaves 17 publisher research items unmatched; 69 raw and 69 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2024,WORKSHOPS,MVP-IEEE-RE,VERIFIED,IEEE,2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),10.1109/REW61692.2024,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-REW-2024-WORKSHOPS,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2024/workshops/source/source_manifest.csv,Official workshop session page is track-level and does not enumerate complete proceedings papers; 62 raw and 62 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2025,MAIN,MVP-IEEE-RE,VERIFIED,IEEE,2025 IEEE 33rd International Requirements Engineering Conference (RE),,979-8-3315-2413-5,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-RE-2025-MAIN,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2025/main/source/source_manifest.csv,Official session/program page leaves 20 publisher research items unmatched; 80 raw and 80 normalized rows remain unchanged. The proceedings DOI remains uninferred.
MSB-RE-PREDISCOVERY-001,2025,WORKSHOPS,MVP-IEEE-RE,VERIFIED,IEEE,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),10.1109/REW66121.2025,,COMPLETE_CONTROLLED,RECEIVED_VALIDATED,PARTIAL,NOT_RECEIVED,MSU-REW-2025-WORKSHOPS,BLOCKED,BLOCKED,ITEM_LEVEL_VENUE_CROSSCHECK_REQUIRED,search/manual/venues/re/2025/workshops/source/source_manifest.csv,Official workshop session page is track-level and does not enumerate complete proceedings papers; 91 raw and 91 normalized rows remain unchanged.
MSB-RE-PREDISCOVERY-001,2026,MAIN,MVP-IEEE-RE,NOT_CHECKED,,,,,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_REQUIRED_FOR_MEMBERSHIP,,PENDING,NOT_STARTED,,search/manual/venues/re/re_controlled_evidence_intake_audit.md,No local controlled RE Main 2026 evidence was identified; publication status is not inferred.
MSB-RE-PREDISCOVERY-001,2026,WORKSHOPS,MVP-IEEE-RE,NOT_CHECKED,,,,,NOT_CHECKED,NOT_CHECKED,NOT_CHECKED,NOT_REQUIRED_FOR_MEMBERSHIP,,PENDING,NOT_STARTED,,search/manual/venues/re/re_controlled_evidence_intake_audit.md,No local controlled REW 2026 evidence was identified; publication status is not inferred.
