TY,TI,AU,T2,A2,AB,C3,DA,PY,DO,LA,PB,UR,DB,N1,KW,VL,SP,EP,SN,IS,J2,ST,C1,filter_1,filter_1_date,filter_1_observations
CONF,"Minimal Data, Maximal Impact: Language Model-based Pipelines for the Automatic Generation of Use Case Diagrams from Requirements","Schleifer, S.; Lungu, A.; Kruse, B.; van Putten, S.; Goetz, S.; Wartzack, S.","Proceedings of the 35th Symposium Design for X, DFX 2024",Krause D.; Paetzold K.; Wartzack S.,"Striving for unique selling points leads to an increase in product requirements, which are prevalently written in natural language. In order to mitigate inherent ambiguities in these requirements specifications, methods of Model-Based Systems Engineering, like use case diagrams, can be utilized. However, creating model-based requirements is time-consuming. Thus, two novel pipelines for the automatic generation of use case diagrams are proposed and discussed with focus on reducing the amount of needed annotated training data. The first pipeline combines named entity recognition with active learning. The second pipeline utilizes generative large language models and prompt engineering. Both pipelines are exemplarily applied to a requirements specification from the automotive industry. © 2024 die Autoren.","Proc. Symp. Des. X, DFX",2024///,2024,10.35199/dfx2024.25,English,The Design Society,https://www.scopus.com/pages/publications/105003997284?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 5; Correspondence Address: S. Schleifer; Friedrich-Alexander-Universität Erlangen-Nürnberg, Lehrstuhl für Konstruktionstechnik (KTmfk), Erlangen, Martensstraße 9, 91058, Germany; email: schleifer@mfk.fau.de; Conference name: 35th Symposium Design for X, DFX 2024; Conference date: 12 September 2024 through 13 September 2024; Conference code: 208267</p>",Language model; Language processing; Large language model; Large language models (LLM); Model-based system engineering; Model-based system engineerings; Model-based systems engineering (MBSE); Natural language processing; Natural language processing (NLP); Natural languages; Requirement engineering; Requirements engineering; Requirements engineering (RE); Use case diagrams; Use cases diagrams,,,,,,,,,,,
CONF,Innovation or Imitation? A Critical Analysis of AI-Authored vs. Human-Authored Scientific Papers,"Hörmann, C.; Kuka, L.; Fraser, A.; Sabitzer, B.","International Conference on Computer Supported Education, CSEDU - Proceedings",Poquet O.; Ortega-Arranz A.; Viberg O.; Chounta I.-A.; McLaren B.; Jovanovic J.,"The use of Artificial Intelligence (AI) in research and academic publishing has been a topic of growing interest and debate. While some argue that AI-based systems have the potential to revolutionize the way scientific papers and academic work are generated, others express concerns about the authenticity of AI-authored papers. Several respected organizations have recently developed guidelines regarding the use of AI in scholarly manuscripts and publishing. This critical analysis will examine the advantages and disadvantages of AI-authored scientific papers compared to those authored by humans. The underlying work describes the process of creating different papers solely with the help of ChatGPT or Jenni AI and compares them to human written drafts. Therefore, both AI tools were asked to generate scientific papers about the “History of Digital Education in Austria”, “A History of Women in Computer Science”, and “Modelling of Mental Arithmetic Strategies Using UML”. In conclusion, it is indisputable that AI-driven tools significantly facilitate the drafting of outlines, titles, and the composition of papers. However, the creation of a high-quality scientific academic publication still demands considerable human input, encompassing both creative effort and critical thinking, to ensure depth, originality, and scholarly rigor. Copyright © 2024 by SCITEPRESS – Science and Technology Publications, Lda.","International Conference on Computer Supported Education, CSEDU - Proceedings",2024///,2024,10.5220/0012712400003693,English,"Science and Technology Publications, Lda",https://www.scopus.com/pages/publications/85194003236?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 3; Conference name: 16th International Conference on Computer Supported Education, CSEDU 2024; Conference date: 2 May 2024 through 4 May 2024; Conference code: 199597</p>",Academic publishing; Academic Publishing; Academic work; Artificial intelligence; Artificial Intelligence; Artificial intelligence tools; Austria; Critical analysis; Digital transformation; Digital Transformation; High quality; Human vs AI Authorship; Human vs artificial intelligence authorship; Mental arithmetic; Paper; Scientific papers,1,534,541,21845026 (ISSN); 978-989758697-2 (ISBN),,,,,,,
JOUR,Costless Expert Systems Development and Reengineering,"Alsharidi, M.; Ali, A.H.",International Journal of Advanced Computer Science and Applications,,"Symbolic AI is indispensable for the current LLM agents that are used for example to reason the context of the questions. An expert system is a symbolic AI that can explain the reasoning it reached to, which typically is a rule-based system has been attractive for different domains such as medicine, agriculture, and operations. On average, these systems involve hundreds of rules that are instable; moreover, they are coded at low levels of abstraction. Therefore, designing and reengineering an expert system is still costly and needs technical knowledge because of the manual process and maintaining of a low-level abstraction. On the other hand, model-driven architecture (MDA) has proven to be a successful technology that raised the abstraction level and formalized it to automate software development. It specifies business aspects in the platformindependent model (PIM) and implementation aspects in a platform-specific model (PSM). It then automates mapping between them using a standard mapping language called QueryView- Transform QVT. This paper argues that utilizing MDA principles such as the automation and abstractions represented by the descriptor PIM and PSM and mappings metamodels will not only overcome the instability of rules of expert systems, but also provides new insights for its usage. Therefore, this work proposes an MDA-compliant methodology that adopts a UML sequence diagram, a class diagram for the PIM descriptor, and a generic PSM) based on production rules. Moreover, a UML profile to support lacking features in the sequence model has been developed. However, the paper argues for a new kind of process-oriented expert system. Therefore, it not only allows domain experts to develop or participate in expert systems but also reduces the cost of developing new systems and reengineering or maintenance of the critical and large-scale legacy expert systems. © (2024), (Science and Information Organization). All Rights Reserved.",,2024///,2024,10.14569/IJACSA.2024.0150130,English,Science and Information Organization,https://www.scopus.com/pages/publications/85184992364?origin=resultslist,Scopus,<p>Export Date: 10 August 2026; Cited By: 0</p>,Abstracting; Descriptors; Expert system development; Expert systems; Legacy systems; Mapping; Model driven architectures; Model-Driven-Architecture(MDA); Platform specific model; Platform-independent model; Platform-Independent Model (PIM); Platform-specific model; Platform-Specific Model (PSM); Query-view; Query-View; Reengineering; Software architecture; Software design; Transform (QVT); Unified modeling language; Unified Modeling Language; Unified Modelling Language (UML); XML,15,315,329,2158107X (ISSN),1,Intl. J. Adv.  Comput. Sci. Appl.,,,,,
JOUR,"27th International Working Conference on Business Process Modeling, Development, and Support, BPMDS 2026 and the 31st International Working Conference on Exploring Modeling Methods for Systems Analysis and Development, EMM-SAD 2026",,Lecture Notes in Business Information Processing,van der Aa H.; Guizzardi R.; Hacks S.; Pufahl L.,The proceedings contain 29 papers. The special focus in this conference is on Business Process Modeling. The topics include: Multimodal Interpretable Feedback for Phlebotomy Training: A Conformance-Oriented Prototype with Time-Aligned Video and LLM-Based Reports; visualization Use in Process Mining Analysis; visually Retracing and Comparing Filter Steps in Exploratory Process Mining; Comparing the Comprehensibility of LLM-Generated and Human-Created Process Models: An Eye-Tracking Study; standing on the Shoulders of Giants: An Empirical Lens on Process Model Comprehensibility; the Cognitive Dimension of Exploratory Process Analysis: A Conceptual Vocabulary; causal Deviance Mining; on-the-Fly Event Disambiguation via Alignments; balanced Translucent Alignments; multitasking-Aware Estimation of Work-Item Duration via Proportional Overlapping-Time Redistribution; Functional Requirements for Wellbeing-Aware Resource Allocation in Industry 5.0 BPM Systems; From Agentic AI to Structured Workflows: Designing Process Architectures for AI-Augmented Administrative Decision Support; on the Alignment of Vibe Coding and Conceptual Models: An Exploratory Study with Base44; a Multi-dimensional Environment Metamodel for Model-Driven User Interface Development; modelDefenders: A Gamified Mutation Testing Tool for Model-Driven Engineering Education; an Ontology for Gender-Aware and Safe Business Process Management; separation of Concerns in Ontology-Driven Conceptual Modeling; an Assessment of Modelling Temporal Constraints in the e-Procurement Domain; Uncovering LLM’s Capabilities in Model-Based Question Answering for UML Class Diagrams; Evaluating LLM-Generated Finite State Machines: The Impact of Prompting Techniques on Structural and Semantic Accuracy; integrating Anticipation of Foreseeable Workarounds into Information System Engineering; modeling Culture’s Consequences - Enriching Enterprise Modeling with an Organizational (Sub-)Culture Perspective; operationalizing Future Viability in Enterprise Architecture: A Capability-Based Assessment Method; PMAx: An Agentic Framework for AI-Driven Process Mining; Towards an IFC-Based Construction Process Modeling Language; toward an Approach for Dealing with Human Value Requirements for Human-Centric Artificial Intelligence Systems; agentic Architecture for Formalising Security Risk Elicitation.,,2026///,2026,,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105041800585?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Conference name: 27th International Working Conference on Business Process Modeling, Development, and Support, BPMDS 2026 and the 31st International Working Conference on Exploring Modeling Methods for Systems Analysis and Development, EMM-SAD 2026; Conference date: 8 June 2026 through 9 June 2026; Conference code: 354269</p>",,594 LNBIP,,,18651348 (ISSN); 978-303228273-6 (ISBN),,Lect. Notes Bus. Inf. Process.,,,,,
CONF,GraphRAG-KM: An Automated Framework for Transforming Industrial Documents into Ontology and Conceptual Models,"Wang, D.; Han, P.; Tyszberowicz, S.; Zhang, M.; Liu, B.",Lecture Notes in Computer Science,Zhu T.; Zhou W.; Zhu C.,"With the increasing complexity of industrial systems, efficiently extracting and modelling knowledge from massive technical standards documentation has become a major challenge. This paper presents GraphRAG-KM, an automated framework for accurately converting unstructured industrial documents into structured ontology (OWL) and conceptual (UML) models. The framework integrates multi-layered technologies, including MinerU, retrieval-augmented generation (RAG), large language models (LLMs), and K-Means clustering, to precisely extract entities, relationships, and hierarchical structures. Specifically, MinerU and OCR preprocess PDF documents into structured Markdown texts, which are then semantically enriched by GraphRAG via targeted retrieval and indexing. Subsequently, LLMs infer implicit attributes and relationships, thereby enhancing semantic completeness. Meanwhile, K-Means clustering identifies latent associative relations, which significantly improves model completeness and semantic depth. Experimental evaluations on the MIL-STD-6016 standard demonstrate that GraphRAG-KM achieves a knowledge extraction accuracy of 94.7%, significantly outperforming traditional LLMs methods (approximately 30%). Reading efficiency improved by 58.66% in readability assessments, and comprehension accuracy increased by 29.2% compared to traditional reading methods. Furthermore, automated modelling efficiency improved by 6.75 times compared to manual methods. GraphRAG-KM thus represents an effective solution for intelligent, scalable, and efficient knowledge management in industrial engineering contexts. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.",Lect. Notes Comput. Sci.,2026///,2026,10.1007/978-981-95-3052-6_9,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105023297752?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 2; Correspondence Address: B. Liu; Southwest University, Chongqing, China; email: liubocq@swu.edu.cn; Conference name: 18th International Conference on Knowledge Science, Engineering and Management, KSEM 2025; Conference date: 4 August 2025 through 7 August 2025; Conference code: 340899</p>",Automation; Conceptual model; Documents analysis; Efficiency; Extraction; Graphrag; GraphRAG; Industrial Document Analysis; Industrial document analyze; Industrial systems; Information extraction; Information Extraction; Information retrieval; Information retrieval systems; Intelligent systems; K-means clustering; K-means++ clustering; Knowledge management; Language model; Model-Based System Engineering; Model-based system engineerings; Ontology; Ontology model; Ontology Modelling; Semantics,15920 LNAI,108,120,03029743 (ISSN); 978-981953051-9 (ISBN),,,,,,,
CONF,Leveraging LLMs for Domain Modeling: The Impact of Granularity and Strategy on Quality,"Reinhartz-Berger, I.; Ali, S.J.; Bork, D.",Lecture Notes in Computer Science,Krogstie J.; Rinderle-Ma S.; Kappel G.; Proper H.A.,"The information systems engineering community is increasingly exploring the use of Large Language Models (LLMs) for a variety of tasks, including domain modeling, business process modeling, software modeling, and systems modeling. However, most existing research remains exploratory and lacks a systematic approach to analyzing the impact of prompt content on model quality. This paper seeks to fill this gap by investigating how different levels of description granularity (whole text vs. paragraph-by-paragraph) and modeling strategies (model-based vs. list-based) affect the quality of LLM-generated domain models. Specifically, we conducted an experiment with two state-of-the-art LLMs (GPT-4o and Llama-3.1-70b-versatile) on tasks involving use case and class modeling. Our results reveal challenges that extend beyond the chosen granularity, strategy, and LLM, emphasizing the importance of human modelers not only in crafting effective prompts but also in identifying and addressing critical aspects of LLM-generated models that require refinement and correction. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",Lect. Notes Comput. Sci.,2025///,2025,10.1007/978-3-031-94569-4_1,English,Springer Science and Business Media Deutschland GmbH,https://www.scopus.com/pages/publications/105009297505?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 8; Correspondence Address: I. Reinhartz-Berger; University of Haifa, Haifa, Israel; email: iris@is.haifa.ac.il; Conference name: 37th International Conference on Advanced Information Systems Engineering, CAiSE 2025; Conference date: 16 June 2025 through 20 June 2025; Conference code: 333669</p>",Artificial intelligence; Business process modeling; Community IS; Conceptual model; Conceptual modeling; Domain model; Domain modeling; Engineering community; Generative AI; Information system engineerings; Information systems; Information use; Language model; Large language model; LLM; Modeling languages; Software engineering; Systems analysis; UML,15701 LNCS,3,19,03029743 (ISSN); 978-303194568-7 (ISBN),,,,,,,
JOUR,Using large language models for enhanced fraud analysis and detection in blockchain based health insurance claims,"Islayem, R.; Gebreab, S.; AlKhader, W.; Musamih, A.; Salah, K.; Jayaraman, R.; Khan, M.K.",Scientific Reports,,"Traditional health insurance claim processing systems are plagued by inefficiencies and vulnerabilities, often resulting in significant financial losses due to fraudulent activities. Existing fraud detection methods are largely manual, time-consuming, and inadequate for handling the complexity and scale of modern fraudulent schemes. Moreover, the trust-based relationships between insurers and healthcare providers lack mechanisms to ensure data integrity and prevent manipulation. While several blockchain-based systems have been proposed to improve transparency and tamper resistance, they typically focus on structured data and predefined fraud types, offering limited adaptability and analytical insight. This paper proposes a novel solution leveraging blockchain technology and Large Language Models (LLMs) to transform fraud detection. The system uses Ethereum smart contracts (SCs) to securely store medical records and claim details on a decentralized, tamper-proof ledger that ensures data integrity, traceability, and accountability. This immutable data is accessed by an LLM via a Retrieval-Augmented Generation (RAG) system, which enables intelligent retrieval and analysis of relevant clinical information to detect fraud patterns and inconsistencies. To support complex scenarios involving free-text documents, unstructured clinical data, such as lab reports, are stored using decentralized off-chain storage and retrieved during LLM analysis. In addition, an LLM-powered chatbot also allows insurance providers to interact with the system in natural language for claim inquiries, explanations, and summaries. The architecture, sequence diagrams, and implementation algorithms outline the development process, while testing scenarios demonstrate the system’s ability to detect fraud such as inflated costs, unnecessary treatments, and unrendered services. Evaluation using both synthetic and public clinical datasets showed strong performance, with the LLM achieving up to 99% fraud detection accuracy. Cost, security, and scalability analyses confirm the system’s practicality and resilience, with the complete detection process executing in just 13 seconds. By overcoming the limitations of traditional systems, this framework offers a scalable and adaptable approach for healthcare and other domains. The SCs and source code are publicly available on GitHub. © The Author(s) 2025.",,2025///,2025,10.1038/s41598-025-15676-4,English,Nature Research,https://www.scopus.com/pages/publications/105013462707?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 7; Correspondence Address: A. Musamih; Department of Management Science & Engineering, Khalifa University, Abu Dhabi, United Arab Emirates; email: ahmad.musamih@ku.ac.ae</p>","algorithm; Algorithms; blockchain; Blockchain; computer security; Computer Security; fraud; Fraud; Fraud Detection; health insurance; Health Insurance Claims; human; Humans; Insurance, Health; large language model; Large Language Model (LLM); Large Language Models; prevention and control; Retrieval-Augmented Generation (RAG)",15,,,20452322 (ISSN),1,Sci. Rep.,,,,,
JOUR,"Proceedings of the 35th Symposium Design for X, DFX 2024",,"Proceedings of the 35th Symposium Design for X, DFX 2024",Krause D.; Paetzold K.; Wartzack S.,"The proceedings contain 25 papers. The topics discussed include: minimal data, maximal impact: language model-based pipelines for the automatic generation of use case diagrams from requirements; optimizing the individual design of revision hip implants – evaluating the effects for bone and stem using patient-specific finite element models; an approach for cross-domain optimization for automated adaptation design of mechatronic systems; lightweight design and variety: a multi-model optimization approach in product development; applications of generative AI in the product development process: a scoping review; digitally integrated sustainability assessment of design characteristics – a systematic review; and modeling a sustainability-oriented development process with model-based systems engineering.",,2024///,2024,,English,The Design Society,https://www.scopus.com/pages/publications/105003994214?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Conference name: 35th Symposium Design for X, DFX 2024; Conference date: 12 September 2024 through 13 September 2024; Conference code: 208267</p>",,,,,,,"Proc. Symp. Des. X, DFX",,,,,
CONF,Model transformations using LLMs out-of-the-box: can accidental complexity be reduced?,"Kazai, G.; Osei, R.A.; Bucaioni, A.; Cicchetti, A.",CEUR Workshop Proceedings,Ahmadian A.; Lammel R.; Tehrani S.; Alfonso I.; Rahimi S.; Lange A.; Weber T.; Atkinson C.; A�mann U.; Cicchetti A.; Hernandez Lopez J.; Rubei R.; Clariso R.; Hamann L.; Barash M.; Zaytsev V.; Schmitz A.; Steimann F.; Wimmer M.; Greiner S.; Hinkel G.; Le Calvar T.,"Model-driven engineering envisions an enhancement of software engineering by promoting automation through model transformations. However, the effective use of model-driven tools often requires significant expertise due to their reliance on custom domain-specific languages for transformations. This expertise gap, combined with challenges like inadequate tool support and the need for additional training, has meant that model-driven engineering sometimes struggled to reduce, and might have even increased, accidental complexity. Addressing this problem, our work investigates the use of large language models, specifically ChatGPT-4, to reduce accidental complexity in model transformation processes within model-driven engineering. We conducted a systematic literature review and designed an experiment to explore ChatGPT-4’s efficacy in performing model transformations out-of-the-box. Using a semi-automated pipeline, we applied ChatGPT-4 to 99 UML class diagram models, generating Java programs and comparing them with ground truth programs created by a state-of-the-art modelling tool. Our findings indicate a cumulative success rate of 94% after three iterations, with most generation errors being resolved during the process. However, complex models presented a significant challenge, with a cumulative success rate of only 17%. © 2025 Copyright for this paper by its authors.",CEUR Workshop Proc.,2025///,2025,,English,CEUR-WS,https://www.scopus.com/pages/publications/105038689414?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 1; Correspondence Address: ; A. Bucaioni; Mälardalen University, Västerås, Box 883, 721 23, Sweden; email: alessio.bucaioni@mdu.se; Conference name: 2025 STAF Workshops: OCL, OOPSLE, LLM4SE, ICMM, AgileMDE, AI4DPS, and TTC, STAF 2025; Conference date: 10 June 2025 through 13 June 2025; Conference code: 216384</p>",accidental complexity; Accidental complexity; Automation; Computer software; Domains specific languages; Language model; Large language model; large language models; model transformation; Model transformation; Model-driven; Model-driven engineering; Model-driven Engineering; Modeling languages; Object oriented programming; Software design; Systematic literature review; Tool support; Transformation process,4122,,,16130073 (ISSN),,,,,,,
CONF,Enhancing the MBSE Process with Agentic AI,"Melo, W.","SysCon 2026 - The 20th Annual IEEE International Systems Conference, Conference Proceedings",,"This paper presents and empirically evaluates an agentic, multimodal AI pipeline that transforms informal, ad hoc diagrams into formal Model-Based Systems Engineering (MBSE) artifacts. Early systems engineering activities often rely on unstructured sketches and office tool diagrams (e.g., Visio, PowerPoint, whiteboards), which lack formal metamodels and cannot be directly ingested by UML/SysML tools. The proposed approach addresses this long-standing gap by integrating multimodal large language models (MLLMs), few-shot in-context learning, retrieval-augmented generation (RAG), and standardsbased tooling into a coordinated multi-agent workflow. The architecture comprises a Transformer Agent that converts images of UML class diagrams into structured models and XMI for ingestion into tools such as Cameo, Sparx EA, and Visual Paradigm; a RAG-based Researcher Agent that enriches models using curated domain corpora; a Documenter Agent that generates plain-language documentation via constrained web retrieval; a Reviewer Agent that checks conformance to INCOSE-informed and domain-specific modeling practices; a Coordinator Agent that orchestrates tasks and maintains provenance; and a human-in-the-loop for validation and targeted corrective feedback. Validation was conducted on a public corpus of 67 handdrawn UML class diagrams, using five images as few-shot exemplars and 62 for evaluation. Two Transformer configurations were compared: GPT-5 and Qwen3-VL-235B-Instruct, both under identical prompting conditions. Across 253 classes, 357 attributes, and 219 relationships, GPT-5 achieved Precision =97%, Recall =96%, and F 1=0.96, while Qwen3-VL achieved Precision =92%, Recall =97%, and F1=0.94. These results demonstrate that a substantial portion of the diagram-to-model reconstruction process can be automated while preserving design intent, with trade-offs between selectivity and coverage. The paper discusses threats to validity, underscores the continued importance of human oversight, and outlines a research agenda that extends the agentic pipeline toward simulation, analysis, change management, and model governance within responsible assurance and evaluation frameworks.  © 2026 IEEE.","SysCon - Annu. IEEE Int. Syst. Conf., Conf. Proc.",2026///,2026,10.1109/SysCon66367.2026.11503504,English,Institute of Electrical and Electronics Engineers Inc.,https://www.scopus.com/pages/publications/105040702025?origin=resultslist,Scopus,"<p>Export Date: 10 August 2026; Cited By: 0; Correspondence Address: W. Melo; Mitre Corporation, United States; email: wmelo@mitre.org; Conference name: 20th Annual IEEE International Systems Conference, SysCon 2026; Conference date: 6 April 2026 through 9 April 2026; Conference code: 223812</p>",Ad hoc diagrams; Economic and social effects; Engineering activities; Formal methods; Formal modeling; Graphic methods; Information systems; Interactive computer systems; Meta model; Model-based system engineerings; Multi agent systems; Multi-modal; Pipelines; Powerpoint; System engineering process; Systems analysis; UML class diagrams; Unified Modeling Language; Visual languages; White board,,,,979-833159151-9 (ISBN),,,,,,,
