ManualSearchUnitID,VenueFamily,VenueOrJournal,Year,VolumeTrackIssue,InventorySourceURL,InspectionDate,TotalItems,CandidateCount,ClearNonCandidateCount,NonResearchItemCount,UnitStatus,AccessLimitations,Notes
MSU-MODELS-2024-MAIN,MODELS,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,2024,10.1145/3640310,https://dl.acm.org/doi/proceedings/10.1145/3640310,2026-08-11T21:29:05Z,27,,,,IN_PROGRESS,Automated PRIMARY_TOC access failed with HTTP 403; limitation was overcome through human-authenticated acquisition via CAPES. Controlled evidence is not redistributed publicly.,automated PRIMARY_TOC access failed with HTTP 403 -> human-authenticated publisher source acquired via CAPES -> integrity verified by SHA256 -> 27 raw documentary items materialized -> official venue reconciliation executed -> normalized metadata inventory materialized from controlled ACM BibTeX.
MSU-RE-2022-MAIN,IEEE RE,2022 IEEE 30th International Requirements Engineering Conference (RE),2022,10.1109/RE54965.2022,https://ieeexplore.ieee.org/xpl/conhome/9919881/proceeding,2026-08-14T20:06:12Z,49,,,,IN_PROGRESS,Controlled source bytes are not redistributed publicly.,Publisher TOC and metadata export reconciled with an independent official item-level accepted-paper list; documentary collection complete; discovery deferred and not performed.
MSU-REW-2022-WORKSHOPS,IEEE RE,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/xpl/conhome/9920001/proceeding,2026-08-14T20:06:12Z,54,,,,BLOCKED,Official track-level workshop page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Publisher inventories remain materialized and unchanged; partial workshop session page does not complete documentary reconciliation; no discovery performed.
MSU-RE-2023-MAIN,IEEE RE,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/xpl/conhome/10260705/proceeding,2026-08-14T20:06:12Z,63,,,,BLOCKED,Official session-level page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Partial program reconciliation leaves 16 publisher research items unmatched; inventories unchanged; no discovery performed.
MSU-REW-2023-WORKSHOPS,IEEE RE,2023 IEEE 31st International Requirements Engineering Conference Workshops (REW),2023,10.1109/REW57809.2023,https://ieeexplore.ieee.org/xpl/conhome/10260706/proceeding,2026-08-14T20:06:12Z,91,,,,BLOCKED,Official track-level workshop page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Publisher inventories remain materialized and unchanged; partial workshop session page does not complete documentary reconciliation; no discovery performed.
MSU-RE-2024-MAIN,IEEE RE,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/xpl/conhome/10628108/proceeding,2026-08-14T20:06:12Z,69,,,,BLOCKED,Official session-level page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Partial program reconciliation leaves 17 publisher research items unmatched; inventories unchanged; no discovery performed.
MSU-REW-2024-WORKSHOPS,IEEE RE,2024 IEEE 32nd International Requirements Engineering Conference Workshops (REW),2024,10.1109/REW61692.2024,https://ieeexplore.ieee.org/xpl/conhome/10628444/proceeding,2026-08-14T20:06:12Z,62,,,,BLOCKED,Official track-level workshop page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Publisher inventories remain materialized and unchanged; partial workshop session page does not complete documentary reconciliation; no discovery performed.
MSU-RE-2025-MAIN,IEEE RE,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings/re/2025/2aFJYc7yopO,2026-08-14T20:06:12Z,80,,,,BLOCKED,Official session-level page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Partial program reconciliation leaves 20 publisher research items unmatched; inventories unchanged; proceedings DOI not inferred; no discovery performed.
MSU-REW-2025-WORKSHOPS,IEEE RE,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),2025,10.1109/REW66121.2025,https://ieeexplore.ieee.org/xpl/conhome/11190089/proceeding,2026-08-14T20:06:12Z,91,,,,BLOCKED,Official track-level workshop page received but complete item-level venue crosscheck remains required; controlled sources are not redistributed.,Publisher inventories remain materialized and unchanged; partial workshop session page does not complete documentary reconciliation; no discovery performed.
MSU-NLBSE-2022,NLBSE,Proceedings of the 1st International Workshop on Natural Language-Based Software Engineering,2022,,,2026-08-15T00:06:33Z,,,,,BLOCKED,Complete publisher TOC and official venue crosscheck are missing; controlled sources are not redistributed.,Metadata and full-text-package intake completed; no raw membership or discovery data produced.
MSU-NLBSE-2023,NLBSE,2023 IEEE/ACM 2nd International Workshop on Natural Language-Based Software Engineering (NLBSE),2023,10.1109/NLBSE59153.2023,https://ieeexplore.ieee.org/xpl/conhome/10189115/proceeding,2026-08-15T00:06:33Z,20,,,,BLOCKED,Independent official venue crosscheck remains required; controlled sources are not redistributed.,Publisher TOC and BibTeX reconcile without material conflict; 20 raw and normalized records materialized; no discovery performed.
