ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-NLBSE-2024-0001,MSU-NLBSE-2024,1,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/action/showFmPdf?doi=10.1145%2F3643787,"Front matter (Title page, Contents, Message from the chairs, Organization, Author index)",,,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/action/showFmPdf?doi=10.1145%2F3643787,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0002,MSU-NLBSE-2024,2,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648028,Aligning Programming Language and Natural Language: Exploring Design Choices in Multi-Modal Transformer-Based Embedding for Bug Localization,Partha Chakraborty; Venkatraman Arumugam; Meiyappan Nagappan,10.1145/3643787.3648028,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648028,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0003,MSU-NLBSE-2024,3,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648029,Unveiling Disparities: NLP Analysis of Software Industry and Vocational Education Gaps,Emil Bäckstrand; Rasmus Djupedal; Lena-Maria Öberg; Francisco Gomes de Oliveira Neto,10.1145/3643787.3648029,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648029,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0004,MSU-NLBSE-2024,4,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648037,What’s in a Display Name? An Empirical Study on the Use of Display Names in Open-Source JUnit Tests,Yining Qiao; José Miguel Rojas,10.1145/3643787.3648037,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648037,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0005,MSU-NLBSE-2024,5,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648036,Software Vulnerability and Functionality Assessment using Large Language Models,Rasmus Ingemann Tuffveson Jensen; Vali Tawosi; Salwa Alamir,10.1145/3643787.3648036,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648036,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0006,MSU-NLBSE-2024,6,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648032,Towards Automatic Translation of Machine Learning Visual Insights to Analytical Assertions,Arumoy Shome; Luis Cruz; Arie Van Deursen,10.1145/3643787.3648032,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648032,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0007,MSU-NLBSE-2024,7,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648038,The NLBSE'24 Tool Competition,Rafael Kallis; Giuseppe Colavito; Ali Al-Kaswan; Luca Pascarella; Oscar Chaparro,10.1145/3643787.3648038,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648038,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0008,MSU-NLBSE-2024,8,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648039,Few-Shot Issue Report Classification with Adapters,Fahad Ebrahim; Mike Joy,10.1145/3643787.3648039,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648039,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0009,MSU-NLBSE-2024,9,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648040,Lessons from the NLBSE 2024 Competition: Towards Building Efficient Models for GitHub Issue Classification,Daniel Fernando Gómez-Barrera; Luccas Rojas Becerra; Juan Pinzón Roncancio,10.1145/3643787.3648040,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648040,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-NLBSE-2024-0010,MSU-NLBSE-2024,10,SRC-NLBSE-2024-PUBLISHER-TOC-HUMAN-20260815,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648041,ClassifAI: Automating Issue Reports Classification using Pre-Trained BERT (Bidirectional Encoder Representations from Transformers) Models,Khubaib Amjad Alam; Ashish Jumani; Harris Aamir; Muhammad Uzair,10.1145/3643787.3648041,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,2024,10.1145/3643787,https://dl-acm-org.ez371.periodicos.capes.gov.br/doi/10.1145/3643787.3648041,2026-08-14T20:22:10Z,audit_acm_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
