ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-NLBSE-2025-0001,MSU-NLBSE-2025,1,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Title Page,Title Page,,,,10.1109/nlbse66842.2025.00001,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by equal complete sequence and duplicate occurrence ordinal. Discovery was not executed.
MS-NLBSE-2025-0002,MSU-NLBSE-2025,2,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Title Page,Title Page,,,,10.1109/nlbse66842.2025.00002,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-NLBSE-2025-0003,MSU-NLBSE-2025,3,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Copyright Page,Copyright Page,,,,10.1109/nlbse66842.2025.00003,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-NLBSE-2025-0004,MSU-NLBSE-2025,4,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Table of Contents,Table of Contents,,,,10.1109/nlbse66842.2025.00004,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,,,,,,v-vi,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-NLBSE-2025-0005,MSU-NLBSE-2025,5,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Message from NLBSE 2025 Program Chairs,Message from NLBSE 2025 Program Chairs,Maliheh Izadi; Andrea Di Sorbo; Sebastiano Panichella,Maliheh Izadi; Andrea Di Sorbo; Sebastiano Panichella,,10.1109/nlbse66842.2025.00005,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029441/,,,,,vii-vii,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-NLBSE-2025-0006,MSU-NLBSE-2025,6,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Analyzing Toxicity in Open Source Software Communications Using Psycholinguistics and Moral Foundations Theory,Analyzing Toxicity in Open Source Software Communications Using Psycholinguistics and Moral Foundations Theory,Ramtin Ehsani; Rezvaneh Rezapour; Preetha Chatterjee,Ramtin Ehsani; Rezvaneh Rezapour; Preetha Chatterjee,,10.1109/nlbse66842.2025.00006,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029382/,,,,,1-8,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-NLBSE-2025-0007,MSU-NLBSE-2025,7,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,SkillScope: A Tool to Predict Fine-Grained Skills Needed to Solve Issues on GitHub,SkillScope: A Tool to Predict Fine-Grained Skills Needed to Solve Issues on GitHub,Benjamin C. Carter; Jonathan Rivas Contreras; Carlos A. Llanes Villegas; Pawan Acharya; Jack Utzerath; Adonijah O. Farner; Hunter Jenkins; Dylan Johnson; Jacob Penney; Igor Steinmacher; Marco A. Gerosa; Fabio Santos,Benjamin C. Carter; Jonathan Rivas Contreras; Carlos A. Llanes Villegas; Pawan Acharya; Jack Utzerath; Adonijah O. Farner; Hunter Jenkins; Dylan Johnson; Jacob Penney; Igor Steinmacher; Marco A. Gerosa; Fabio Santos,,10.1109/nlbse66842.2025.00007,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029433/,,,,,9-12,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-NLBSE-2025-0008,MSU-NLBSE-2025,8,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Synthesizing Access Control Policies Using Large Language Models,Synthesizing Access Control Policies Using Large Language Models,Adarsh Vatsa; Pratyush Patel; William Eiers,Adarsh Vatsa; Pratyush Patel; William Eiers,,10.1109/nlbse66842.2025.00008,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029381/,,,,,13-16,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-NLBSE-2025-0009,MSU-NLBSE-2025,9,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Semantic API Alignment: Linking High-Level User Goals to APIs,Semantic API Alignment: Linking High-Level User Goals to APIs,Robert Feldt; Riccardo Coppola,Robert Feldt; Riccardo Coppola,,10.1109/nlbse66842.2025.00009,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029426/,,,,,17-20,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-NLBSE-2025-0010,MSU-NLBSE-2025,10,SRC-NLBSE-2025-PUBLISHER-TOC-HUMAN-20260815,SRC-NLBSE-2025-PUBLISHER-BIBTEX-HUMAN-20260815,Evaluating the Performance and Efficiency of Sentence-BERT for Code Comment Classification,Evaluating the Performance and Efficiency of Sentence-BERT for Code Comment Classification,Fabian C. Peña; Steffen Herbold,Fabian C. Peña; Steffen Herbold,,10.1109/nlbse66842.2025.00010,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),2025,2025,10.1109/NLBSE66842.2025,https://ieeexplore.ieee.org/document/11029440/,,,,,21-24,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T20:23:12Z,2026-08-15T00:14:58Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
