ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-REW-2022-WORKSHOPS-0001,MSU-REW-2022-WORKSHOPS,1,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Title Page i,Title Page i,,,,10.1109/rew56159.2022.00001,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920119/,,,,,1-1,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0002,MSU-REW-2022-WORKSHOPS,2,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Title Page iii,Title Page iii,,,,10.1109/rew56159.2022.00002,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920154/,,,,,3-3,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0003,MSU-REW-2022-WORKSHOPS,3,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Copyright Page,Copyright Page,,,,10.1109/rew56159.2022.00003,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,,,,,,4-4,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0004,MSU-REW-2022-WORKSHOPS,4,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Table of Contents,Table of Contents,,,,10.1109/rew56159.2022.00004,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,,,,,,5-10,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0005,MSU-REW-2022-WORKSHOPS,5,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Welcome from the RE 2022 Chairs,Welcome from the RE 2022 Chairs,,,,10.1109/rew56159.2022.00005,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920151/,,,,,11-13,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0006,MSU-REW-2022-WORKSHOPS,6,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,RE 2022 Organizing Committee,RE 2022 Organizing Committee,,,,10.1109/rew56159.2022.00006,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,,,,,,14-15,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0007,MSU-REW-2022-WORKSHOPS,7,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,An RE’22 Workshop on Environment-Driven Requirements Engineering (EnviRE’22),An RE’22 Workshop on Environment-Driven Requirements Engineering (EnviRE’22),Zhi Jin; Nan Niu; Yijun Yu,Zhi Jin; Nan Niu; Yijun Yu,,10.1109/rew56159.2022.00007,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920158/,,,,,1-1,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0008,MSU-REW-2022-WORKSHOPS,8,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Requirements Engineering for Feedback Loops in Software-Intensive Systems,Requirements Engineering for Feedback Loops in Software-Intensive Systems,Eunsuk Kang; Rômulo Meira-Góes,Eunsuk Kang; Rômulo Meira-Góes,,10.1109/rew56159.2022.00008,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920155/,,,,,2-5,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0009,MSU-REW-2022-WORKSHOPS,9,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Environment Assertion Driven Requirements Elicitation: A Preliminary Study,Environment Assertion Driven Requirements Elicitation: A Preliminary Study,Austin Reid Thompson; Tanmay Bhowmik; Nan Niu,Austin Reid Thompson; Tanmay Bhowmik; Nan Niu,,10.1109/rew56159.2022.00009,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920136/,,,,,6-9,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0010,MSU-REW-2022-WORKSHOPS,10,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Eliciting Environmental Opposites for Requirements-Based Testing,Eliciting Environmental Opposites for Requirements-Based Testing,Sarah Sturmer; Nan Niu; Tanmay Bhowmik; Juha Savolainen,Sarah Sturmer; Nan Niu; Tanmay Bhowmik; Juha Savolainen,,10.1109/rew56159.2022.00010,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920117/,,,,,10-13,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0011,MSU-REW-2022-WORKSHOPS,11,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Requirements Patterns for Complex Embedded Systems,Requirements Patterns for Complex Embedded Systems,Xiaoqi Wang; Xiaohong Chen; Xiao Yang; Bo Yang,Xiaoqi Wang; Xiaohong Chen; Xiao Yang; Bo Yang,,10.1109/rew56159.2022.00011,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920132/,,,,,14-17,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0012,MSU-REW-2022-WORKSHOPS,12,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Extracting Requirements Models from Natural-Language Document for Embedded Systems,Extracting Requirements Models from Natural-Language Document for Embedded Systems,Chunhui Wang; Lu Hou; Xiaohong Chen,Chunhui Wang; Lu Hou; Xiaohong Chen,,10.1109/rew56159.2022.00012,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920157/,,,,,18-21,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0013,MSU-REW-2022-WORKSHOPS,13,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,"Welcome to REWBAH 2022: The Third International Workshop on Requirements Engineering for Well-Being, Aging, and Health","Welcome to REWBAH 2022: The Third International Workshop on Requirements Engineering for Well-Being, Aging, and Health",,,,10.1109/rew56159.2022.00013,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920134/,,,,,22-23,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-REW-2022-WORKSHOPS-0014,MSU-REW-2022-WORKSHOPS,14,SRC-REW-2022-WORKSHOPS-IEEE-TOC-HUMAN-20260814,SRC-REW-2022-WORKSHOPS-IEEE-BIBTEX-HUMAN-20260814,Multifaceted Requirements Engineering: Developing A MESH (Municipal-Environmental-Social-Health) Platform,Multifaceted Requirements Engineering: Developing A MESH (Municipal-Environmental-Social-Health) Platform,Meira Levy; Safed Israel; Michal Pauzner,Meira Levy; Safed Israel; Michal Pauzner,,10.1109/rew56159.2022.00014,2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022 IEEE 30th International Requirements Engineering Conference Workshops (REW),2022,2022,10.1109/REW56159.2022,https://ieeexplore.ieee.org/document/9920147/,,,,,24-29,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:09:43.860801Z,2026-08-14T22:08:17Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
