ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-RE-2023-MAIN-0001,MSU-RE-2023-MAIN,1,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260896/,Title Page,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260896/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0002,MSU-RE-2023-MAIN,2,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260966/,Title Page,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260966/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0003,MSU-RE-2023-MAIN,3,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,,Copyright Page,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0004,MSU-RE-2023-MAIN,4,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,,Table of Contents,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0005,MSU-RE-2023-MAIN,5,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260769/,Welcome from the RE 2023 Organizers,Kurt Schneider; Fabiano Dalpiaz; Jennifer Horkoff,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260769/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0006,MSU-RE-2023-MAIN,6,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,,Organizing Committee,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0007,MSU-RE-2023-MAIN,7,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,,Program Committee,,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0008,MSU-RE-2023-MAIN,8,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260941/,Do We Publish Credible Evidence?,Claes Wohlin,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260941/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0009,MSU-RE-2023-MAIN,9,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260902/,A Paradigm Shift in the Automotive Industry and its Requirements,Rainer Dammers,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260902/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2023-MAIN-0010,MSU-RE-2023-MAIN,10,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,https://ieeexplore.ieee.org/document/10260877/,Search-Based Software Engineering in the Era of Modern Software Systems,Federica Sarro,,2023 IEEE 31st International Requirements Engineering Conference (RE),2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260877/,2026-08-14T13:10:09.656675Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
