ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-MODELSWARD-2022-0001,MSU-MODELSWARD-2022,1,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Integrating Security Protocols in Scenario-based Requirements Specifications,Integrating Security Protocols in Scenario-based Requirements Specifications,Thorsten Koch; Sascha Trippel; Stefan Dziwok; Eric Bodden,Thorsten Koch; Sascha Trippel; Stefan Dziwok; Eric Bodden,10.5220/0010783300003119,10.5220/0010783300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=q9vrwWOBsPM=&t=1,,SciTePress,,978-989-758-550-0,15-25,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0002,MSU-MODELSWARD-2022,2,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Modeling Context-aware Systems: A Conceptualized Framework,Modeling Context-aware Systems: A Conceptualized Framework,Achiya Elyasaf; Arnon Sturm,Achiya Elyasaf; Arnon Sturm,10.5220/0010818200003119,10.5220/0010818200003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=ly1adjGpxOY=&t=1,,SciTePress,,978-989-758-550-0,26-35,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0003,MSU-MODELSWARD-2022,3,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,A Model-based System Engineering Plugin for Safety Architecture Pattern Synthesis,A Model-based System Engineering Plugin for Safety Architecture Pattern Synthesis,Yuri Gil Dantas; Tiziano Munaro; Carmen Carlan; Vivek Nigam; Simon Barner; Shiqing Fan; Alexander Pretschner; Ulrich Schöpp; Sergey Tverdyshev,Yuri Gil Dantas; Tiziano Munaro; Carmen Carlan; Vivek Nigam; Simon Barner; Shiqing Fan; Alexander Pretschner; Ulrich Schöpp; Sergey Tverdyshev,10.5220/0010831700003119,10.5220/0010831700003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=IOT+/z8UIH0=&t=1,,SciTePress,,978-989-758-550-0,36-47,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0004,MSU-MODELSWARD-2022,4,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,"Safety, Security and Performance Assessment of Security Countermeasures with SysML-Sec","Safety, Security and Performance Assessment of Security Countermeasures with SysML-Sec",Bastien Sultan; Ludovic Apvrille; Philippe Jaillon,Bastien Sultan; Ludovic Apvrille; Philippe Jaillon,10.5220/0010832300003119,10.5220/0010832300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=RQgLUzZuXsk=&t=1,,SciTePress,,978-989-758-550-0,48-60,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0005,MSU-MODELSWARD-2022,5,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Extraction Process of the Logical Schema of a Document-oriented NoSQL Database,Extraction Process of the Logical Schema of a Document-oriented NoSQL Database,Fatma Abdelhedi; Hela Rajhi; Gilles Zurfluh,Fatma Abdelhedi; Hela Rajhi; Gilles Zurfluh,10.5220/0010899000003119,10.5220/0010899000003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=GhFu7cExOh0=&t=1,,SciTePress,,978-989-758-550-0,61-71,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0006,MSU-MODELSWARD-2022,6,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Towards a MaaS Service for Cloud Service Interoperability,Towards a MaaS Service for Cloud Service Interoperability,Nour El Houda Bouzerzour; Yahya Slimani,Nour El Houda Bouzerzour; Yahya Slimani,10.5220/0010911400003119,10.5220/0010911400003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=CRqzh8DWYQo=&t=1,,SciTePress,,978-989-758-550-0,72-83,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0007,MSU-MODELSWARD-2022,7,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Code Generation by Example,Code Generation by Example,Kevin Lano; Qiaomu Xue,Kevin Lano; Qiaomu Xue,10.5220/0010973600003119,10.5220/0010973600003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=BUjykpmOIXQ=&t=1,,SciTePress,,978-989-758-550-0,84-92,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0008,MSU-MODELSWARD-2022,8,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,MDD4REST: Model-Driven Methodology for Developing RESTful Web Services,MDD4REST: Model-Driven Methodology for Developing RESTful Web Services,Amirhossein Deljouyi; Raman Ramsin,Amirhossein Deljouyi; Raman Ramsin,10.5220/0011006300003119,10.5220/0011006300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=M2PleUsmSoY=&t=1,,SciTePress,,978-989-758-550-0,93-104,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0009,MSU-MODELSWARD-2022,9,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,Discerning Quantities from Units of Measurement,Discerning Quantities from Units of Measurement,Steve McKeever,Steve McKeever,10.5220/0010971300003119,10.5220/0010971300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=k06T7etc8e4=&t=1,,SciTePress,,978-989-758-550-0,105-115,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
MS-MODELSWARD-2022-0010,MSU-MODELSWARD-2022,10,SRC-MODELSWARD-2022-SCITEPRESS-TOC-HUMAN-20260815,SRC-MODELSWARD-2022-SCITEPRESS-BIBTEX-HUMAN-20260815,The Problem with ‘Dimensionless Quantities’,The Problem with ‘Dimensionless Quantities’,B. D. Hall,B. D. Hall,10.5220/0010960300003119,10.5220/0010960300003119,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,Proceedings of the 10th International Conference on Model-Driven Engineering and Software Development - MODELSWARD,2022,2022,978-989-758-550-0,https://www.scitepress.org/PublicationsDetail.aspx?ID=HjRWUdYsjmg=&t=1,,SciTePress,,978-989-758-550-0,116-125,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T21:33:44Z,2026-08-15T00:56:22Z,false,,,,Matched to publisher BibTeX by publisher DOI exact match. Discovery was not executed.
