EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,EvidenceRole,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,HTMLCompletenessStatus,ControlledPath,ProcessingStatus,Notes
EVI-NLBSE-CAPES-001,nlbse_2022_toc.bib,2022,NLBSE,Association for Computing Machinery,Proceedings of the 1st International Workshop on Natural Language-Based Software Engineering,METADATA_SOURCE,BibTeX,ef10a3d97933f293051e043c4bedb7b493f191a08876ba45635c7527a736bc28,25795,15,IN_SCOPE,,EXPECTATION_MISMATCH,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2022/publisher_export.bib,INTAKE_COMPLETE,Publisher export identifies NLBSE '22 but reports year=2023; preserved without correction and does not define membership.
EVI-NLBSE-CAPES-002,nlbse_2022_toc_pdfs.zip,2022,NLBSE,Association for Computing Machinery,Proceedings of the 1st International Workshop on Natural Language-Based Software Engineering,CONTROLLED_FULLTEXT_PACKAGE,ZIP,4ebb564fa3626e29b33732a97aee428b41a12b17f18e7f337ff4cdcda6632294,3347389,15,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2022/publisher_pdf_package_001.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-NLBSE-CAPES-003,nlbse_2023_toc.bib,2023,NLBSE,IEEE,2023 IEEE/ACM 2nd International Workshop on Natural Language-Based Software Engineering (NLBSE),METADATA_SOURCE,BibTeX,6eab8834b30df0ba6982396f22558b81c1d1228e1f22153c193827e568efdc49,23087,20,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2023/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher BibTeX parsed with BibTeX::Parser 1.05; does not define membership.
EVI-NLBSE-CAPES-004,nlbse_2023_toc.html,2023,NLBSE,IEEE,2023 IEEE/ACM 2nd International Workshop on Natural Language-Based Software Engineering (NLBSE),PRIMARY_TOC,HTML,98ddf02568836f53e91b742ad0810f132fe7cd2dd630c8fc32be90a9f57c79fe,433185,20,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://nlbse/2023/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local IEEE Xplore TOC shows 20 of 20 items; defines membership.
EVI-NLBSE-CAPES-005,nlbse_2024_toc.bib,2024,NLBSE,Association for Computing Machinery,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,METADATA_SOURCE,BibTeX,a5875e5cef8e612575462ffc66494558721900222214c989098a306d0077f7ed,28837,16,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2024/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher BibTeX parsed with BibTeX::Parser 1.05; does not define membership.
EVI-NLBSE-CAPES-006,nlbse_2024_toc.html,2024,NLBSE,Association for Computing Machinery,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,PRIMARY_TOC,HTML,a3d19db19a2adc6548340938972cab6ac83a36d696464351010a9f9c2880f66b,360578,17,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://nlbse/2024/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local ACM proceedings TOC contains one front-matter item and 16 research records; defines membership.
EVI-NLBSE-CAPES-007,acm_pdfs_1786738916644.zip,2024,NLBSE,Association for Computing Machinery,Proceedings of the Third ACM/IEEE International Workshop on NL-Based Software Engineering,CONTROLLED_FULLTEXT_PACKAGE,ZIP,497186ce9910ebbca205462f7859e038bd2a9bf7279a526427600656d369dc82,9106648,16,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2024/publisher_pdf_package_001.zip,INTAKE_COMPLETE,CONTROLLED_FULLTEXT_PACKAGE used only as a package-completeness crosscheck; does not define documentary membership.
EVI-NLBSE-CAPES-008,nlbse_2025_toc.bib,2025,NLBSE,IEEE,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),METADATA_SOURCE,BibTeX,5c612c3ab0fcaa29c3e6e0aed799110f30c83184dbb01792f5fdaad5624b9ba1,25381,18,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://nlbse/2025/publisher_export.bib,READY_FOR_UNIT_PROCESSING,Publisher BibTeX contains two distinct DOI records with the same displayed title; both are preserved.
EVI-NLBSE-CAPES-009,nlbse_2025_toc.html,2025,NLBSE,IEEE,2025 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),PRIMARY_TOC,HTML,26596910e8cd5114f6b4cb259b4fafc87bd90858ba5dfcf1f497e083980cfd48,439091,18,IN_SCOPE,,VERIFIED,ASSIGNED,COMPLETE_TOC,controlled://nlbse/2025/publisher_primary_toc.html,READY_FOR_UNIT_PROCESSING,Complete local IEEE Xplore TOC shows 18 of 18 items; defines membership.
EVI-NLBSE-CAPES-010,nlbse_2026_official_site.html,2026,NLBSE,NLBSE official workshop site,NLBSE 2026,VENUE_CROSSCHECK,HTML,e960e44c536f6a3bddf52bd5308aabe19091bb5cf492d39c1e6aa80426f95a95,30663,0,IN_SCOPE,,VERIFIED,ASSIGNED,LANDING_PAGE_ONLY,controlled://nlbse/2026/official_site_crosscheck.html,INTAKE_COMPLETE,Event-level evidence for a workshop co-located with ICSE 2026; not publisher PRIMARY_TOC evidence and not proof of proceedings publication.
