ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-RE-2024-MAIN-0001,MSU-RE-2024-MAIN,1,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Half Title Page,Half Title Page,,,,10.1109/re59067.2024.00001,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/document/10628491/,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2024-MAIN-0002,MSU-RE-2024-MAIN,2,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Title Page,Title Page,,,,10.1109/re59067.2024.00002,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/document/10628496/,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2024-MAIN-0003,MSU-RE-2024-MAIN,3,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Copyright Page,Copyright Page,,,,10.1109/re59067.2024.00003,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2024-MAIN-0004,MSU-RE-2024-MAIN,4,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Table of Contents,Table of Contents,,,,10.1109/re59067.2024.00004,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,,,,,,v-xii,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2024-MAIN-0005,MSU-RE-2024-MAIN,5,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Welcome from the RE 2024 Conference Chairs,Welcome from the RE 2024 Conference Chairs,,,,10.1109/re59067.2024.00005,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/document/10628477/,,,,,xii-xiv,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2024-MAIN-0006,MSU-RE-2024-MAIN,6,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,RE '24 Organising Committee,RE ’24 Organising Committee,,,,10.1109/re59067.2024.00006,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,,,,,,xv-xvi,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by diagnostic normalized title. TOC/BibTeX title representation drift preserved; no external correction applied. Discovery was not executed.
MS-RE-2024-MAIN-0007,MSU-RE-2024-MAIN,7,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,List of PC Members,List of PC Members,,,,10.1109/re59067.2024.00007,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,,,,,,xvii-xx,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2024-MAIN-0008,MSU-RE-2024-MAIN,8,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,List of Subreviewers,List of Subreviewers,,,,10.1109/re59067.2024.00008,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,,,,,,xxi-xxii,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2024-MAIN-0009,MSU-RE-2024-MAIN,9,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Automation for Requirements Engineering: Opportunities and Pitfalls — RE '24 Keynote,Automation for Requirements Engineering: Opportunities and Pitfalls — RE ’24 Keynote,Jan Mendling,Jan Mendling,,10.1109/re59067.2024.00009,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/document/10628463/,,,,,1-1,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. TOC/BibTeX title representation drift preserved; no external correction applied. Discovery was not executed.
MS-RE-2024-MAIN-0010,MSU-RE-2024-MAIN,10,SRC-RE-2024-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2024-MAIN-IEEE-BIBTEX-HUMAN-20260814,Paradigm Shift with GenAI — RE ’24 Keynote,Paradigm Shift with GenAI — RE ’24 Keynote,Marija Mikic,Marija Mikic,,10.1109/re59067.2024.00010,2024 IEEE 32nd International Requirements Engineering Conference (RE),2024 IEEE 32nd International Requirements Engineering Conference (RE),2024,2024,10.1109/RE59067.2024,https://ieeexplore.ieee.org/document/10628494/,,,,,2-2,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T18:02:53.785444Z,2026-08-14T22:08:21Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
