ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,SourceRecordLocator,TitleRaw,AuthorsRaw,DOIRaw,VenueRaw,YearRaw,VolumeTrackIssueRaw,PublisherRecordURLRaw,RetrievedAt,ExtractionMethod,Notes
MS-RE-2025-MAIN-0001,MSU-RE-2025-MAIN,1,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z001/2aFK0zDzEuA,Title Page i,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z001/2aFK0zDzEuA,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0002,MSU-RE-2025-MAIN,2,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z003/2aFK3ZFVOGA,Title Page iii,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z003/2aFK3ZFVOGA,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0003,MSU-RE-2025-MAIN,3,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z004/2aFJYLOtcsM,Copyright Page,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z004/2aFJYLOtcsM,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0004,MSU-RE-2025-MAIN,4,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z005/2aFK5hChIT6,Table of Contents,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z005/2aFK5hChIT6,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0005,MSU-RE-2025-MAIN,5,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z014/2aFJYGmY8O4,Welcome Message from Conference Chairs,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z014/2aFJYGmY8O4,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0006,MSU-RE-2025-MAIN,6,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z017/2aFK5mhOzyU,Organizing Committee,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z017/2aFK5mhOzyU,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0007,MSU-RE-2025-MAIN,7,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z019/2aFK06JTztm,Program Committee,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z019/2aFK06JTztm,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0008,MSU-RE-2025-MAIN,8,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300z023/2aFK1z60UAE,Sponsors,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300z023/2aFK1z60UAE,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0009,MSU-RE-2025-MAIN,9,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a001/2aFJYRNKwBa,"Keynote : REConnect: How Being a Requirements Engineer Made Me a Better, Yet Humble, Software Engineer",,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a001/2aFJYRNKwBa,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0010,MSU-RE-2025-MAIN,10,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a003/2aFK3P2g2oE,Keynote : Value-Driven Requirements Engineering for the 21st Century,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a003/2aFK3P2g2oE,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
MS-RE-2025-MAIN-0011,MSU-RE-2025-MAIN,11,SRC-RE-2025-MAIN-IEEE-TOC-HUMAN-20260814,https://www.computer.org/csdl/proceedings-article/re/2025/241300a004/2aFK3iy2roQ,Keynote : Towards a Fairer World – Uncovering and Addressing Human and Algorithmic Biases,,,2025 IEEE 33rd International Requirements Engineering Conference (RE),2025,,https://www.computer.org/csdl/proceedings-article/re/2025/241300a004/2aFK3iy2roQ,2026-08-14T18:09:41.644511Z,audit_ieee_toc_html.pl offline structural extraction,Complete controlled publisher PRIMARY_TOC membership row; discovery was not executed.
