EvidenceID,OriginalFilename,DetectedYear,DetectedTrack,DetectedPublisher,DetectedProceedingsTitle,EvidenceRole,Format,SHA256,SizeBytes,RecordCount,ScopeStatus,DuplicateOf,IntegrityStatus,AssignmentStatus,HTMLCompletenessStatus,ControlledPath,ProcessingStatus,Notes
EVI-REFSQ-CAPES-001,refsq_2022_toc.html,2022,REFSQ,Springer Nature Link,"Requirements Engineering: Foundation for Software Quality: 28th International Working Conference, REFSQ 2022, Proceedings",PRIMARY_TOC,HTML,6c97dbba05a9255850f187fc65b52fcb2563724ec0165bc2c3aba22bd1f3cd71,346233,20,IN_SCOPE,,VERIFIED,ASSIGNED,PARTIAL_TOC,controlled://refsq/2022/publisher_primary_toc.html,INTAKE_BLOCKED,Page 1 contains 20 local cards and an uncaptured link to page 2; it cannot define complete membership.
EVI-REFSQ-CAPES-002,REFSQ_2022.bib,2022,REFSQ,Springer International Publishing,Requirements Engineering: Foundation for Software Quality,METADATA_SOURCE,BibTeX,24a3e1ca0a21c3f3b36d0e57b3804a3443d8dfa01dab88e15d5689445f9713aa,37043,19,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2022/publisher_export.bib,INTAKE_COMPLETE,Aggregate export parsed with BibTeX::Parser 1.05; does not define membership.
EVI-REFSQ-CAPES-003,refsq_2022_crosscheck_research.html,2022,REFSQ,REFSQ official site,REFSQ 2022 Research Papers,VENUE_CROSSCHECK,HTML,3b343e96af5b4aac416d5e139d1fa90c8415dd6398129ccd73d1603502ff351d,190876,29,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2022/research_track_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=SESSION_LEVEL; 29 unique local program events include research and non-paper events and cannot complete reconciliation while the PRIMARY_TOC is partial.
EVI-REFSQ-CAPES-004,refsq_2023_toc.html,2023,REFSQ,Springer Nature Link,"Requirements Engineering: Foundation for Software Quality: 29th International Working Conference, REFSQ 2023, Proceedings",PRIMARY_TOC,HTML,6849e57d1664dd73148052ae9e12fff30f8e7fccc985d7fcd3a6a9131f9b1d08,342586,20,IN_SCOPE,,VERIFIED,ASSIGNED,PARTIAL_TOC,controlled://refsq/2023/publisher_primary_toc.html,INTAKE_BLOCKED,Page 1 contains 20 local cards and an uncaptured link to page 2; it cannot define complete membership.
EVI-REFSQ-CAPES-005,REFSQ_2023.bib,2023,REFSQ,Springer Nature Switzerland,Requirements Engineering: Foundation for Software Quality,METADATA_SOURCE,BibTeX,69f19acc4342f8a72e77c8e6e35ce50aad0afe409a4510a47645b3327094698a,50005,25,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2023/publisher_export.bib,INTAKE_COMPLETE,Aggregate export parsed with BibTeX::Parser 1.05; does not define membership.
EVI-REFSQ-CAPES-006,refsq_2023_crosscheck_research.html,2023,REFSQ,REFSQ official site,REFSQ 2023 Research Papers,VENUE_CROSSCHECK,HTML,bf1549767bdfbca21b1bd25c48de43b49458df476fd979b6dcae867d520933ab,248240,34,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2023/research_track_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=SESSION_LEVEL; 34 unique local program events include research and non-paper events and cannot complete reconciliation while the PRIMARY_TOC is partial.
EVI-REFSQ-CAPES-007,refsq_2024_toc.html,2024,REFSQ,Springer Nature Link,"Requirements Engineering: Foundation for Software Quality: 30th International Working Conference, REFSQ 2024, Proceedings",PRIMARY_TOC,HTML,76e63ae683f46c91401423a0912f0b4b13328dba9297e21c5f6864889043120c,344157,20,IN_SCOPE,,VERIFIED,ASSIGNED,PARTIAL_TOC,controlled://refsq/2024/publisher_primary_toc.html,INTAKE_BLOCKED,Page 1 contains 20 local cards and an uncaptured link to page 2; it cannot define complete membership.
EVI-REFSQ-CAPES-008,REFSQ_2024.bib,2024,REFSQ,Springer Nature Switzerland,Requirements Engineering: Foundation for Software Quality,METADATA_SOURCE,BibTeX,596ca7540e3e77dbc1458407c738f04674b97d00f62a7a7d82e3ad0ccdf2e2e6,41180,22,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2024/publisher_export.bib,INTAKE_COMPLETE,Aggregate export parsed with BibTeX::Parser 1.05; does not define membership.
EVI-REFSQ-CAPES-009,refsq_2024_crosscheck_research.html,2024,REFSQ,REFSQ official site,REFSQ 2024 Research Track,VENUE_CROSSCHECK,HTML,8abd61ebe36592550050b681e1182d6d9d6ff33277f72976851c9d789c0c1a95,228800,27,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2024/research_track_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=SESSION_LEVEL; 27 unique local program events include research and non-paper events and cannot complete reconciliation while the PRIMARY_TOC is partial.
EVI-REFSQ-CAPES-010,refsq_2025_toc.html,2025,REFSQ,Springer Nature Link,"Requirements Engineering: Foundation for Software Quality: 31st International Working Conference, REFSQ 2025, Proceedings",PRIMARY_TOC,HTML,09a5fe2c5d55cef20eec8ed10a3fa94ab813705d6b471892d9f12eb91be6b865,343523,20,IN_SCOPE,,VERIFIED,ASSIGNED,PARTIAL_TOC,controlled://refsq/2025/publisher_primary_toc.html,INTAKE_BLOCKED,Page 1 contains 20 local cards and an uncaptured link to page 2; it cannot define complete membership.
EVI-REFSQ-CAPES-011,REFSQ_2025.bib,2025,REFSQ,Springer Nature Switzerland,Requirements Engineering: Foundation for Software Quality,METADATA_SOURCE,BibTeX,52de364177f649f5e4c4b7405ba5153a9f88624d45e638ceb319a856563aa357,56585,29,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2025/publisher_export.bib,INTAKE_COMPLETE,Aggregate export parsed with BibTeX::Parser 1.05; does not define membership.
EVI-REFSQ-CAPES-012,refsq_2025_crosscheck_research.html,2025,REFSQ,REFSQ official site,REFSQ 2025 Research Track,VENUE_CROSSCHECK,HTML,0abc7a14b8066ae045afba832ccf9beee6ad13e7369e13fc0ad019e4532a54a2,245205,33,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2025/research_track_crosscheck.html,INTAKE_COMPLETE,CrosscheckGranularity=SESSION_LEVEL; 33 unique local program events include research and non-paper events and cannot complete reconciliation while the PRIMARY_TOC is partial.
EVI-REFSQ-CAPES-013,REFSQ_2026.bib,2026,REFSQ,Springer Nature Switzerland,Requirements Engineering: Foundation for Software Quality,METADATA_SOURCE,BibTeX,0dd1367dad656a67c5bd2fd41788d6846d6501350cc2eff0ab27505e5b6a6724,44703,23,IN_SCOPE,,VERIFIED,ASSIGNED,NOT_APPLICABLE,controlled://refsq/2026/publisher_export.bib,INTAKE_COMPLETE,Aggregate export parsed with BibTeX::Parser 1.05; no PRIMARY_TOC or venue crosscheck HTML was received.
