openalex_id,doi,title,year,type,venue,authors
https://openalex.org/W4390457872,https://doi.org/10.1016/j.jbi.2023.104580,Retrieval augmentation of large language models for lay language generation,2023,article,Journal of Biomedical Informatics,Yue Guo; Wei Qiu; Gondy Leroy; Sheng Wang; Trevor Cohen
https://openalex.org/W4417250955,https://doi.org/10.1109/models-c68889.2025.00078,A comparison of different Large Language Models for the generation of UML class diagrams,2025,conference-paper,,Giacomo Garaccione; Diego Maria Calabrese; Riccardo Coppola; Luca Ardito
https://openalex.org/W4398785929,https://doi.org/10.1145/3639474.3640076,Does ChatGPT Help With Introductory Programming?An Experiment of Students Using ChatGPT in CS1,2024,conference-paper,,Y. Z. Xue; H. Chen; Gina R. Bai; Robert Tairas; Yu Huang
https://openalex.org/W4404781793,https://doi.org/10.18653/v1/2024.findings-emnlp.209,InfuserKI: Enhancing Large Language Models with Knowledge Graphs via Infuser-Guided Knowledge Integration,2024,conference-paper,,Fali Wang; Runxue Bao; Suhang Wang; Wenchao Yu; Yanchi Liu; Wei Cheng; Haifeng Chen
https://openalex.org/W4386175534,https://doi.org/10.1145/3579028.3609016,Generative AI for Reengineering Variants into Software Product Lines,2023,conference-paper,,Mathieu Acher; Jabier Martinez
https://openalex.org/W4410768139,https://doi.org/10.20944/preprints202505.2054.v1,Students-Centric Evaluation Survey for Exploring the Impact of LLMs on UML Modeling,2025,preprint,Preprints.org,Bilal Al‐Ahmad; Anas Alsobeh; Omar Meqdadi; Nazimuddin Shaikh; Md Faisal Kabir
https://openalex.org/W4411924150,https://doi.org/10.3390/info16070565,A Student-Centric Evaluation Survey to Explore the Impact of LLMs on UML Modeling,2025,article,Information,Bilal Al‐Ahmad; Anas Alsobeh; Omar Meqdadi; Nazimuddin Shaikh
https://openalex.org/W4388717727,https://doi.org/10.48550/arxiv.2311.07605,Conceptual Model Interpreter for Large Language Models,2023,preprint,arXiv (Cornell University),Felix Härer
https://openalex.org/W4415686194,https://doi.org/10.1007/978-3-032-09527-5_4,Ontology-Enhanced Knowledge Graph Completion Using Large Language Models,2025,conference-paper,Lecture notes in computer science,Wenbin Guo; Xin Wang; Jiaoyan Chen; Zhao Li; Zirui Chen
https://openalex.org/W7166357155,https://doi.org/10.1145/3786146.3788643,Class Model Generation from Requirements using Large Language Models,2026,conference-paper,,Jackson Nguyen; Rui En Koe; Fanyu Wang; Chetan Arora; Alessio Ferrari
https://openalex.org/W4402409658,https://doi.org/10.1145/3643795.3648391,Toward a New Era of Rapid Development: Assessing GPT-4-Vision's Capabilities in UML-Based Code Generation,2024,conference-paper,,Gábor Antal; Richárd Vozár; Rudolf Ferenć
https://openalex.org/W4414913477,https://doi.org/10.3390/info16100870,SCEditor-Web: Bridging Model-Driven Engineering and Generative AI for Smart Contract Development,2025,article,Information,Yassine Ait Hsain; Naziha Laaz; Samir Mbarki
https://openalex.org/W7151602506,https://doi.org/10.1007/s13755-026-00448-9,UMEval: a unified framework for explainable medical term semantic evaluation with large language models,2026,article,Health Information Science and Systems,Shuyu Liu; Linkun Feng; Youwei Luo; Bijiang Wang; Panfeng Chen; Xiaohua Wang; Huarong Xu; Dan Ma; Mei Chen; Cen Chen; Hui Li; Yanhao Wang
https://openalex.org/W4392011485,https://doi.org/10.48550/arxiv.2402.11441,InfuserKI: Enhancing Large Language Models with Knowledge Graphs via Infuser-Guided Knowledge Integration,2024,preprint,arXiv (Cornell University),Fali Wang; Runxue Bao; Suhang Wang; Wenchao Yu; Yanchi Liu; Wei Cheng; Haifeng Chen
https://openalex.org/W4413360287,https://doi.org/10.1109/icse-seip66354.2025.00030,"UML Sequence Diagram Generation: A Multi-Model, Multi-Domain Evaluation",2025,conference-paper,,Chi Xiao; Daniel Ståhl; Jan Bosch
https://openalex.org/W4415450404,https://doi.org/10.1016/j.ijnss.2025.10.010,Development of a large language model–based knowledge graph for chemotherapy-induced nausea and vomiting in breast cancer and its implications for nursing,2025,article,International Journal of Nursing Sciences,Yü Liu; Jingjing Chen; Xianhui Lin; Jihong Song; Shaohua Chen
https://openalex.org/W4413836816,https://doi.org/10.1007/978-3-032-02138-0_5,Automated Software Architecture Design Recovery from Source Code Using LLMs,2025,conference-paper,Lecture notes in computer science,Domenico Amalfitano; Marco De Luca; Tiziano Santilli; Patrizio Pelliccione; Anna Rita Fasolino
https://openalex.org/W4412889539,https://doi.org/10.18653/v1/2025.acl-short.25,LLM as Entity Disambiguator for Biomedical Entity-Linking,2025,conference-paper,,Christophe Ye; Cassie S. Mitchell
https://openalex.org/W4389116616,https://doi.org/10.48550/arxiv.2311.16075,BioLORD-2023: Semantic Textual Representations Fusing LLM and Clinical Knowledge Graph Insights,2023,preprint,arXiv (Cornell University),François Remy; Kris Demuynck; Thomas Demeester
https://openalex.org/W7125519311,https://doi.org/10.1007/978-3-032-07479-9_14,Next-Generation Cloud Automation with Generative AI,2026,book-chapter,,Naimil Navnit Gadani
https://openalex.org/W7160552389,https://doi.org/10.5281/zenodo.20064398,Large Language Models in Model-Driven Engineering: A Systematic Mapping Study,2026,preprint,Zenodo (CERN European Organization for Nuclear Research),Weixing Zhang; Jiang Bowen; Fu Yuhong; Cheng Haowei; Maximilian Hummel; Vincenzo Scotti; Nathan Hagel; Jialong Li; Georg Grossmann; Markus Stumptner; Regina Hebig; Daniel Strüber; Anne Koziolek
https://openalex.org/W7160533975,https://doi.org/10.5281/zenodo.20064397,Large Language Models in Model-Driven Engineering: A Systematic Mapping Study,2026,preprint,Zenodo (CERN European Organization for Nuclear Research),Weixing Zhang; Jiang Bowen; Fu Yuhong; Cheng Haowei; Maximilian Hummel; Vincenzo Scotti; Nathan Hagel; Jialong Li; Georg Grossmann; Markus Stumptner; Regina Hebig; Daniel Strüber; Anne Koziolek
https://openalex.org/W7172399476,https://doi.org/10.5445/ir/1000195960,Large language models in model-driven engineering: a systematic mapping study,2026,article,Repository KITopen (Karlsruhe Institute of Technology),Weixing Zhang; Bowen Jiang; Yuhong Fu; Haowei Cheng; Maximilian Hummel; Vincenzo Scotti; Nathan Hagel; Jialong Li; Georg Grossmann; Markus Stumptner; Regina Hebig; Daniel Strüber; Anne Koziolek
https://openalex.org/W7168583524,https://doi.org/10.1007/s10664-026-10921-4,Large language models in model-driven engineering: a systematic mapping study,2026,article,Empirical Software Engineering,Weixing Zhang; Bowen Jiang; Fu Yuhong; Haowei Cheng; Maximilian Hummel; Vincenzo Scotti; Nathan Hagel; Jialong Li; Georg Grossmann; Markus Stumptner; Regina Hebig; Daniel Strüber; Anne Koziolek
https://openalex.org/W7161789058,https://doi.org/10.5445/ir/1000193410,Large Language Models in Model-Driven Engineering: A Systematic Mapping Study,2026,book,Repository KITopen (Karlsruhe Institute of Technology),Weixing Zhang; Jiang Bowen; Fu Yuhong; Cheng Haowei; Maximilian Hummel; Vincenzo Scotti; Nathan Hagel; Jialong Li; Georg Grossmann; Markus Stumptner; Regina Hebig; Daniel Strüber; Anne Koziolek
https://openalex.org/W4412757830,https://doi.org/10.1145/3702653.3744328,Benchmarking of Generative AI Tools in Software Engineering Education: Formative Insights for Curriculum Integration,2025,conference-paper,,Nimisha Roy; Oleksandr Horielko; Olufisayo Omojokun
https://openalex.org/W7138185577,https://doi.org/10.1109/icca66035.2025.11430855,Automated Feature Extraction and UML Modeling from Real-World Unstructured Egyptian Arabic Text,2025,conference-paper,,Farah El Degheidy; Raghda El Ebrashi; Hany Abdelghaffar; Mervat Abu-Elkheir
https://openalex.org/W7148577318,https://doi.org/10.5281/zenodo.19387475,LLMs for Model-driven Engineering: A Survey,2026,preprint,Zenodo (CERN European Organization for Nuclear Research),Man Zhang; Yunyang Li; Tao Yue
